row_label_raw,row_label_full,STT,Các loại doanh thu hoạt động khác,Các loại doanh thu hoạt động khác_1,Năm nay,Năm trước,numeric__Các loại doanh thu hoạt động khác,numeric__Các loại doanh thu hoạt động khác_1,numeric__Năm nay,numeric__Năm trước
1,1,1,Doanh thu đại lý đầu giá,Doanh thu đại lý đầu giá,,20.613.150,,,,20613150.0
2,2,2,"Doanh thu từ trả họ gốc, lãi trái phiếu và cổ tức của TCPH","Doanh thu từ trả họ gốc, lãi trái phiếu và cổ tức của TCPH",91.500.000,65.000.000,,,91500000.0,65000000.0
3,3,3,Phí quản lý tài sản cầm cố,Phí quản lý tài sản cầm cố,40.800.000,71.200.000,,,40800000.0,71200000.0
4,4,4,Doanh thu khác,Doanh thu khác,143.080.000,231.020.000,,,143080000.0,231020000.0
,,,,Công,275.380.000,387.833.150,,,275380000.0,387833150.0
