row_label_raw,row_label_full,col_0,This year,Previous year,numeric__This year,numeric__Previous year
*Members of the Board of Directors,*Members of the Board of Directors,*Members of the Board of Directors,*Members of the Board of Directors,*Members of the Board of Directors,,
Tran Thanh Tung - Members of the Board of Directors,*Members of the Board of Directors > Tran Thanh Tung - Members of the Board of Directors,Tran Thanh Tung - Members of the Board of Directors,96.000.000,96.000.000,96000000.0,96000000.0
Chairman and other members of the Board of Directors do not receive remuneration,Chairman and other members of the Board of Directors do not receive remuneration,Chairman and other members of the Board of Directors do not receive remuneration,,,,
*Salary of members of the Board of Management,*Salary of members of the Board of Management,*Salary of members of the Board of Management,*Salary of members of the Board of Management,*Salary of members of the Board of Management,,
Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,,
Nguyen Diep Tung - General Director,Members of the Board of Management > Nguyen Diep Tung - General Director,Nguyen Diep Tung - General Director,886.380.000,756.690.000,886380000.0,756690000.0
Nguyen Van Dung - Vice General Director,Members of the Board of Management > Nguyen Van Dung - Vice General Director,Nguyen Van Dung - Vice General Director,680.580.000,546.440.000,680580000.0,546440000.0
Nguyen Thi Thu Huor - Vice General Director,Members of the Board of Management > Nguyen Thi Thu Huor - Vice General Director,Nguyen Thi Thu Huor - Vice General Director,649.080.000,511.790.000,649080000.0,511790000.0
,,,2.216.040.000,1.814.920.000,2216040000.0,1814920000.0
