row_label_raw,row_label_full,col_0,ITEMS,The traded volume in the year 2024,Value of the traded volume in the year 2024,numeric__ITEMS,numeric__The traded volume in the year 2024,numeric__Value of the traded volume in the year 2024
a) The Securities Company,a) The Securities Company,a) The Securities Company,a) The Securities Company,a) The Securities Company,a) The Securities Company,,,
- Shares,a) The Securities Company > - Shares,- Shares,,18.738,349.808.950,,18738.0,349808950.0
- Bonds,a) The Securities Company > - Bonds,- Bonds,,77.320.000,9.242.394.610.000,,77320000.0,9242394610000.0
- Treasury securities,- Treasury securities,- Treasury securities,- Treasury securities,- Treasury securities,- Treasury securities,,,
- Other securities,- Treasury securities > - Other securities,- Other securities,,16.600,199.543.000,,16600.0,199543000.0
Total,- Treasury securities > Total,Total,,77.355.338,9.242.943.961.950,,77355338.0,9242943961950.0
b) Investors,b) Investors,b) Investors,b) Investors,b) Investors,b) Investors,,,
- Shares,b) Investors > - Shares,- Shares,,12.681.240.892,293.893.759.914.320,,12681240892.0,293893759914320.0
- Bonds,b) Investors > - Bonds,- Bonds,,377.671,41.702.206.420,,377671.0,41702206420.0
- Other securities,b) Investors > - Other securities,- Other securities,,859.600.290,836.050.882.940,,859600290.0,836050882940.0
,,,Total,13.541.218.853,294.771.513.003.680,,13541218853.0,294771513003680.0
