row_label_raw,row_label_full,No.,Other expenses,Current period,Previous period,numeric__Other expenses,numeric__Current period,numeric__Previous period
1,1,1,Penalties for administrative violations,177.505.400,7.200,,177505400.0,7200.0
2,2,2,Expenses for Token card,113.017.200,455.814.260,,113017200.0,455814260.0
3,3,3,Bank charge of investors' transfer money,1.367.170.262,1.138.556.021,,1367170262.0,1138556021.0
4,4,4,Other expenses,54.444.453.420,45.869.981.490,,54444453420.0,45869981490.0
Total,Total,Total,Total,56.102.146.282,47.464.358.971,,56102146282.0,47464358971.0
