row_label_raw,row_label_full,Lợi thế thương mại phát sinh từ việc mua các công ty con > Công ty Nam Hà Nội,Nguyên giả > Số dư đầu năm (Trình bày lại) > 2.246.022.053.759,Nguyên giả > Tăng trong năm > -,Nguyên giả > Giảm trong năm > -,Nguyên giả > Số dư cuối năm > 2.246.022.053.759,Phân bổ lũy kế > Số dư đầu năm > 1.127.149.041.384,Phân bổ lũy kế > Phân bổ trong năm > 224.114.947.680,Phân bổ lũy kế > Giảm trong năm > -,Phân bổ lũy kế > Số dư cuối năm > 1.351.263.989.064,Đơn vị tính: VNDGiá trị còn lại > Số dư đầu năm > 1.118.873.012.375,Đơn vị tính: VNDGiá trị còn lại > Số dư cuối năm > 894.758.064.695,numeric__Nguyên giả > Số dư đầu năm (Trình bày lại) > 2.246.022.053.759,numeric__Nguyên giả > Tăng trong năm > -,numeric__Nguyên giả > Giảm trong năm > -,numeric__Nguyên giả > Số dư cuối năm > 2.246.022.053.759,numeric__Phân bổ lũy kế > Số dư đầu năm > 1.127.149.041.384,numeric__Phân bổ lũy kế > Phân bổ trong năm > 224.114.947.680,numeric__Phân bổ lũy kế > Giảm trong năm > -,numeric__Phân bổ lũy kế > Số dư cuối năm > 1.351.263.989.064,numeric__Đơn vị tính: VNDGiá trị còn lại > Số dư đầu năm > 1.118.873.012.375,numeric__Đơn vị tính: VNDGiá trị còn lại > Số dư cuối năm > 894.758.064.695
Công ty Cổ phần Đầu tư và Thương mại PFV,Công ty Cổ phần Đầu tư và Thương mại PFV,Công ty Cổ phần Đầu tư và Thương mại PFV,567.441.137.177,-,-,567.441.137.177,293.927.829.405,53.834.961.099,-,347.762.790.504,273.513.307.772,219.678.346.673,567441137177.0,,,567441137177.0,293927829405.0,53834961099.0,,347762790504.0,273513307772.0,219678346673.0
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,2.251.823.291.311,-,-,2.251.823.291.311,807.375.302.313,224.175.554.161,-,1.031.550.856.474,1.444.447.988.998,1.220.272.434.837,2251823291311.0,,,2251823291311.0,807375302313.0,224175554161.0,,1031550856474.0,1444447988998.0,1220272434837.0
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,1.262.707.762.179,-,(30.656.010.788),1.232.051.751.391,665.112.374.580,126.206.861.830,(17.700.622.206),773.618.614.204,597.595.387.599,458.433.137.187,1262707762179.0,,-30656010788.0,1232051751391.0,665112374580.0,126206861830.0,-17700622206.0,773618614204.0,597595387599.0,458433137187.0
Công ty Vinpearl Đà Nẵng (ii),Công ty Vinpearl Đà Nẵng (ii),Công ty Vinpearl Đà Nẵng (ii),208.586.514.194,-,-,208.586.514.194,128.631.690.993,24.991.434.161,-,153.623.125.154,79.954.823.201,54.963.389.040,208586514194.0,,,208586514194.0,128631690993.0,24991434161.0,,153623125154.0,79954823201.0,54963389040.0
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,494.880.330.007,-,(2.963.622.923),491.916.707.084,103.253.504.041,49.516.013.916,(712.198.104),152.057.319.853,391.626.825.966,339.859.387.231,494880330007.0,,-2963622923.0,491916707084.0,103253504041.0,49516013916.0,-712198104.0,152057319853.0,391626825966.0,339859387231.0
Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,20.000.000.000,-,-,20.000.000.000,6.003.649.635,1.998.175.182,-,8.001.824.817,13.996.350.365,11.998.175.183,20000000000.0,,,20000000000.0,6003649635.0,1998175182.0,,8001824817.0,13996350365.0,11998175183.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,328.706.927.483,-,(8.449.479.382),320.257.448.101,81.191.580.522,32.354.505.511,(2.379.092.342),111.166.993.691,247.515.346.961,209.090.454.410,328706927483.0,,-8449479382.0,320257448101.0,81191580522.0,32354505511.0,-2379092342.0,111166993691.0,247515346961.0,209090454410.0
Công ty TNHH Đầu tư Thương mại Dịch vụ Khánh Gia,Công ty TNHH Đầu tư Thương mại Dịch vụ Khánh Gia,Công ty TNHH Đầu tư Thương mại Dịch vụ Khánh Gia,214.714.616.533,-,(92.182.661.002),122.531.955.531,44.000.900.948,21.514.150.609,(21.212.670.848),44.302.380.709,170.713.715.585,78.229.574.822,214714616533.0,,-92182661002.0,122531955531.0,44000900948.0,21514150609.0,-21212670848.0,44302380709.0,170713715585.0,78229574822.0
Công ty TNHH Một thành viên Thương mại Thời trang Đệt may Việt Nam,Công ty TNHH Một thành viên Thương mại Thời trang Đệt may Việt Nam,Công ty TNHH Một thành viên Thương mại Thời trang Đệt may Việt Nam,17.075.684.954,-,(438.934.004),16.636.750.950,3.489.491.811,1.689.292.265,(106.924.587),5.071.859.489,13.586.193.143,11.564.891.461,17075684954.0,,-438934004.0,16636750950.0,3489491811.0,1689292265.0,-106924587.0,5071859489.0,13586193143.0,11564891461.0
Công ty An Phong (i),Công ty An Phong (i),Công ty An Phong (i),480.340.849.596,-,(206.223.024.863),274.117.824.733,55.168.411.886,49.681.045.651,(28.884.612.200),75.964.845.337,425.172.437.710,198.152.979.396,480340849596.0,,-206223024863.0,274117824733.0,55168411886.0,49681045651.0,-28884612200.0,75964845337.0,425172437710.0,198152979396.0
Công ty Hoàng Lán,Công ty Hoàng Lán,Công ty Hoàng Lán,18.942.936.598,-,(797.729.232),18.145.207.366,1.726.326.734,1.892.219.994,(97.211.616),3.521.335.112,17.216.609.864,14.623.872.254,18942936598.0,,-797729232.0,18145207366.0,1726326734.0,1892219994.0,-97211616.0,3521335112.0,17216609864.0,14623872254.0
Công ty Hoa Hồng Vàng,Công ty Hoa Hồng Vàng,Công ty Hoa Hồng Vàng,12.602.352.813,-,(530.713.133),12.071.639.680,1.155.388.121,1.258.855.713,(65.061.349),2.349.182.485,11.446.964.692,9.722.457.195,12602352813.0,,-530713133.0,12071639680.0,1155388121.0,1258855713.0,-65061349.0,2349182485.0,11446964692.0,9722457195.0
Công ty Sách Việt Nari,Công ty Sách Việt Nari,Công ty Sách Việt Nari,11.097.192.653,-,-,11.097.192.653,1.422.940.144,2.085.835.954,-,3.508.776.098,9.674.252.509,7.588.416.555,11097192653.0,,,11097192653.0,1422940144.0,2085835954.0,,3508776098.0,9674252509.0,7588416555.0
Công ty Sinh Thái,Công ty Sinh Thái,Công ty Sinh Thái,322.419.360.569,-,-,322.419.360.569,1.579.110.933,32.215.457.599,-,33.794.568.532,320.840.249.636,288.624.792.037,322419360569.0,,,322419360569.0,1579110933.0,32215457599.0,,33794568532.0,320840249636.0,288624792037.0
Công ty Phú Gia,Công ty Phú Gia,Công ty Phú Gia,34.561.278.264,-,-,34.561.278.264,398.397.030,3.453.289.506,-,3.851.686.536,34.162.881.234,30.709.591.728,34561278264.0,,,34561278264.0,398397030.0,3453289506.0,,3851686536.0,34162881234.0,30709591728.0
Công ty Đầu tư Việt Nam,Công ty Đầu tư Việt Nam,Công ty Đầu tư Việt Nam,246.843.055.863,-,-,246.843.055.863,1.212.135.061,24.664.033.778,-,25.876.168.839,245.630.920.802,220.966.887.024,246843055863.0,,,246843055863.0,1212135061.0,24664033778.0,,25876168839.0,245630920802.0,220966887024.0
Công ty Vicentra,Công ty Vicentra,Công ty Vicentra,182.145.086.601,-,-,182.145.086.601,3.062.824.755,18.214.508.660,-,21.277.333.415,179.082.261.846,160.867.753.186,182145086601.0,,,182145086601.0,3062824755.0,18214508660.0,,21277333415.0,179082261846.0,160867753186.0
Công ty Cảng Nha Trang (iii),Công ty Cảng Nha Trang (iii),Công ty Cảng Nha Trang (iii),,11.056.322.262,-,11.056.322.262,-,513.347.426,-,513.347.426,-,10.542.974.836,,11056322262.0,,11056322262.0,,513347426.0,,513347426.0,,10542974836.0
Công ty Làng hoa Thụy Khuê (iii),Công ty Làng hoa Thụy Khuê (iii),Công ty Làng hoa Thụy Khuê (iii),,190.318.750.552,-,190.318.750.552,-,2.813.362.313,-,2.813.362.313,-,187.505.388.239,,190318750552.0,,190318750552.0,,2813362313.0,,2813362313.0,,187505388239.0
Các công ty con khác,Các công ty con khác,Các công ty con khác,42.336.588.503,-,(13.923.505.242),28.413.083.261,17.623.317.187,3.874.856.504,(5.463.137.634),16.035.036.057,24.713.271.316,12.378.047.204,42336588503.0,,-13923505242.0,28413083261.0,17623317187.0,3874856504.0,-5463137634.0,16035036057.0,24713271316.0,12378047204.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.963.247.019.057,201.375.072.814,(356.165.680.569),8.808.456.411.302,3.343.484.217.483,901.062.709.512,(76.621.530.886),4.167.925.396.109,5.619.762.801.574,4.640.531.015.193,8963247019057.0,201375072814.0,-356165680569.0,8808456411302.0,3343484217483.0,901062709512.0,-76621530886.0,4167925396109.0,5619762801574.0,4640531015193.0
