row_label_raw,row_label_full,col_0,Giá trị hợp lý được xác định tạm thời tại ngày mua,Điều chỉnh giá trị hợp lý,Giá trị hợp lý sau điều chỉnh,numeric__Giá trị hợp lý được xác định tạm thời tại ngày mua,numeric__Điều chỉnh giá trị hợp lý,numeric__Giá trị hợp lý sau điều chỉnh
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,699.919.715.320,-,699.919.715.320,699919715320.0,,699919715320.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,25.300.885.704,-,25.300.885.704,25300885704.0,,25300885704.0
Tài sản cố định vô hình Đầu tư vào công ty liên kết (Thuyết minh số 19.1.1),Tài sản > Tài sản cố định vô hình Đầu tư vào công ty liên kết (Thuyết minh số 19.1.1),Tài sản cố định vô hình Đầu tư vào công ty liên kết (Thuyết minh số 19.1.1),-,2.180.454.112,2.180.454.112,,2180454112.0,2180454112.0
Tài sản cố định vô hình Đầu tư vào công ty liên kết (Thuyết minh số 19.1.1),Tài sản > Tài sản cố định vô hình Đầu tư vào công ty liên kết (Thuyết minh số 19.1.1),Tài sản cố định vô hình Đầu tư vào công ty liên kết (Thuyết minh số 19.1.1),3.239.919.511,1.474.225.028,4.714.144.539,3239919511.0,1474225028.0,4714144539.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,29.942.765.511,11.312.886.668,41.255.652.179,29942765511.0,11312886668.0,41255652179.0
,,,758.403.286.046,14.967.565.808,773.370.851.854,758403286046.0,14967565808.0,773370851854.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Chi phí phải trả ngắn hạn,Nợ phải trả > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,43.960.667.647,-,43.960.667.647,43960667647.0,,43960667647.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,19.065.137.296,-,19.065.137.296,19065137296.0,,19065137296.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,695.377.481.103,14.967.565.808,710.345.046.911,695377481103.0,14967565808.0,710345046911.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(241.087.372.698),(5.189.255.066),(246.276.627.764),-241087372698.0,-5189255066.0,-246276627764.0
Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),20.875.503.395,(9.778.310.742),11.097.192.653,20875503395.0,-9778310742.0,11097192653.0
