row_label_raw,row_label_full,col_0,Số cổ phiếu phổ thông,Số cổ phiếu phổ thông_1,numeric__Số cổ phiếu phổ thông,numeric__Số cổ phiếu phổ thông_1
Công ty liên kết,Công ty liên kết,Công ty liên kết,Số cuối năm,Số đầu năm,,
Công ty Giống vật nuôi Hà Nội,Công ty liên kết > Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,677.306,677.306,677306.0,677306.0
Công ty In sách Việt Nam,Công ty liên kết > Công ty In sách Việt Nam,Công ty In sách Việt Nam,297.500,297.500,297500.0,297500.0
Công ty Du lịch Phú Quốc,Công ty liên kết > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,225.000.000,34.500.000,225000000.0,34500000.0
Công ty Vinaconex,Công ty liên kết > Công ty Vinaconex,Công ty Vinaconex,-,21.800.000,,21800000.0
Công ty Căng Nha Trang,Công ty liên kết > Công ty Căng Nha Trang,Công ty Căng Nha Trang,-,7.492.240,,7492240.0
Công ty Gỗ Trường Thành,Công ty liên kết > Công ty Gỗ Trường Thành,Công ty Gỗ Trường Thành,-,43.233.000,,43233000.0
