row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng trong năm,Số phát sinh trong năm > Giảm trong năm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng trong năm,numeric__Số phát sinh trong năm > Giảm trong năm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,26.2.1,873.470.632.184,873.470.632.184,3.356.492.983.280,(873.470.632.185),3.356.492.983.279,3.356.492.983.279,2621.0,873470632184.0,873470632184.0,3356492983280.0,-873470632185.0,3356492983279.0,3356492983279.0
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,26.2.2,3.973.682.722.225,3.973.682.722.225,7.336.142.817.320,(4.000.000.000.000),7.309.825.539.545,7.309.825.539.545,2622.0,3973682722225.0,3973682722225.0,7336142817320.0,-4000000000000.0,7309825539545.0,7309825539545.0
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,26.1.1,743.498.805.225,743.498.805.225,5.053.455.438.163,(3.411.304.708.842),2.385.649.534.546,2.385.649.534.546,2611.0,743498805225.0,743498805225.0,5053455438163.0,-3411304708842.0,2385649534546.0,2385649534546.0
Vay ngắn hạn khác,Vay ngắn hạn khác,Vay ngắn hạn khác,26.1.2,-,-,9.447.000.000.000,(4.358.000.000.000),5.089.000.000.000,5.089.000.000.000,2612.0,,,9447000000000.0,-4358000000000.0,5089000000000.0,5089000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,5.590.652.159.634,5.590.652.159.634,25.193.091.238.763,(12.642.775.341.027),18.140.968.057.370,18.140.968.057.370,,5590652159634.0,5590652159634.0,25193091238763.0,-12642775341027.0,18140968057370.0,18140968057370.0
