row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
,,,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,,
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chênh lệch tạm thời liên quan lợi chuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời liên quan lợi chuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Chênh lệch tạm thời liên quan lợi chuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,215.536.458.856,194.022.890.385,21.513.568.471,113.482.720.068,215536458856.0,194022890385.0,21513568471.0,113482720068.0
Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,Tài sản thuế thu nhập hoãn lại > Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,38.401.679.447,66.586.444.793,(28.184.765.346),33.071.116.494,38401679447.0,66586444793.0,-28184765346.0,33071116494.0
Chênh lệch từ cổ phiếu quỹ nằm gữ bởi công ty con,Tài sản thuế thu nhập hoãn lại > Chênh lệch từ cổ phiếu quỹ nằm gữ bởi công ty con,Chênh lệch từ cổ phiếu quỹ nằm gữ bởi công ty con,31.835.173.424,31.835.173.424,-,-,31835173424.0,31835173424.0,,
Chênh lệch tạm thời từ tài sản góp vốn vào công ty con,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ tài sản góp vốn vào công ty con,Chênh lệch tạm thời từ tài sản góp vốn vào công ty con,31.956.609.277,30.874.229.236,1.082.380.041,(12.097.206.165),31956609277.0,30874229236.0,1082380041.0,-12097206165.0
Chênh lệch khác,Tài sản thuế thu nhập hoãn lại > Chênh lệch khác,Chênh lệch khác,20.249.598.503,5.286.061.097,14.963.537.406,3.488.739.362,20249598503.0,5286061097.0,14963537406.0,3488739362.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch tạm thời từ tài sản góp vốn vào công ty con,Thuế thu nhập hoãn lại phải trả > Chênh lệch tạm thời từ tài sản góp vốn vào công ty con,Chênh lệch tạm thời từ tài sản góp vốn vào công ty con,(8.559.812.842),(8.779.295.223),219.482.380,3.765.666.322,-8559812842.0,-8779295223.0,219482380.0,3765666322.0
Thuế TN hoãn lại cho khoản chi phí phát hành trái phiếu ghi nhận ở công ty con,Thuế thu nhập hoãn lại phải trả > Thuế TN hoãn lại cho khoản chi phí phát hành trái phiếu ghi nhận ở công ty con,Thuế TN hoãn lại cho khoản chi phí phát hành trái phiếu ghi nhận ở công ty con,-,(2.568.532.800),2.568.532.800,642.133.200,,-2568532800.0,2568532800.0,642133200.0
Chênh lệch tạm thời từ giá trị quyền thực hiện dự án Hòn Một,Thuế thu nhập hoãn lại phải trả > Chênh lệch tạm thời từ giá trị quyền thực hiện dự án Hòn Một,Chênh lệch tạm thời từ giá trị quyền thực hiện dự án Hòn Một,(8.029.215.258),(10.782.089.058),2.752.873.800,2.728.672.232,-8029215258.0,-10782089058.0,2752873800.0,2728672232.0
Chênh lệch tạm thời từ chương trình Trị Ân – Tân Gia,Thuế thu nhập hoãn lại phải trả > Chênh lệch tạm thời từ chương trình Trị Ân – Tân Gia,Chênh lệch tạm thời từ chương trình Trị Ân – Tân Gia,-,-,-,19.832.420.863,,,,19832420863.0
