row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Đơn vị tính: VND,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND
Số dư cuối năm,Trong đó: > Số dư cuối năm,Số dư cuối năm,6.602.336.027.251,11.228.636.073.190,3.011.379.093.342,20.842.351.193.783,6602336027251.0,11228636073190.0,3011379093342.0,20842351193783.0
Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,Giá trị hao mòn:,,,,
Số dư đầu năm,Giá trị hao mòn: > Số dư đầu năm,Số dư đầu năm,314.606.592.146,825.328.195.518,684.295.185.948,1.824.229.973.612,314606592146.0,825328195518.0,684295185948.0,1824229973612.0
Tăng trong năm,Giá trị hao mòn: > Tăng trong năm,Tăng trong năm,100.690.916.746,442.985.480.629,395.723.308.602,939.399.705.977,100690916746.0,442985480629.0,395723308602.0,939399705977.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Khấu hao trong năm,Trong đó: > Khấu hao trong năm,Khấu hao trong năm,82.816.779.904,357.296.284.462,304.001.808.177,744.114.872.543,82816779904.0,357296284462.0,304001808177.0,744114872543.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Trong đó: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),17.874.136.842,85.689.196.167,91.721.500.425,195.284.833.434,17874136842.0,85689196167.0,91721500425.0,195284833434.0
Giảm trong năm,Trong đó: > Giảm trong năm,Giảm trong năm,(11.092.295.567),(68.801.634.283),(39.805.464.856),(119.699.394.706),-11092295567.0,-68801634283.0,-39805464856.0,-119699394706.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Thanh lý nhượng bán,Trong đó: > Thanh lý nhượng bán,Thanh lý nhượng bán,-,(466.043.009),(255.961.836),(722.004.845),,-466043009.0,-255961836.0,-722004845.0
Giảm do bán công ty con,Trong đó: > Giảm do bán công ty con,Giảm do bán công ty con,-,(7.658.853.492),-,(7.658.853.492),,-7658853492.0,,-7658853492.0
Phân loại sang hàng tồn kho,Trong đó: > Phân loại sang hàng tồn kho,Phân loại sang hàng tồn kho,-,(23.796.379.446),(6.997.343.344),(30.793.722.790),,-23796379446.0,-6997343344.0,-30793722790.0
Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Trong đó: > Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),(11.092.295.567),(36.880.358.336),(32.552.159.676),(80.524.813.579),-11092295567.0,-36880358336.0,-32552159676.0,-80524813579.0
Số dư cuối năm,Trong đó: > Số dư cuối năm,Số dư cuối năm,404.205.213.325,1.199.512.041.864,1.040.213.029.694,2.643.930.284.883,404205213325.0,1199512041864.0,1040213029694.0,2643930284883.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,7.021.151.807.935,8.619.978.132.955,1.720.997.355.601,17.362.127.296.491,7021151807935.0,8619978132955.0,1720997355601.0,17362127296491.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,6.198.130.813.926,10.029.124.031.326,1.971.166.063.648,18.198.420.908.900,6198130813926.0,10029124031326.0,1971166063648.0,18198420908900.0
