row_label_raw,row_label_full,"Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác"
Tiền chi cho hoạt động cho vay,Tiền chi cho hoạt động cho vay,Tiền chi cho hoạt động cho vay,(9.470.662.000.000),(3.128.785.916.909),-9470662000000.0,-3128785916909.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,(3.649.981.139.535),(303.301.551.618),-3649981139535.0,-303301551618.0
Tổng cộng,Tổng cộng,Tổng cộng,(13.120.643.139.535),(3.432.087.468.527),-13120643139535.0,-3432087468527.0
"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,
Tiền thu từ hoạt động cho vay,"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác > Tiền thu từ hoạt động cho vay",Tiền thu từ hoạt động cho vay,4.209.098.001.435,12.257.780.740.761,4209098001435.0,12257780740761.0
Rút tiền gửi có kỳ hạn,"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác > Rút tiền gửi có kỳ hạn",Rút tiền gửi có kỳ hạn,1.661.949.531.594,10.623.112.464.035,1661949531594.0,10623112464035.0
Tổng cộng,"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác > Tổng cộng",Tổng cộng,5.871.047.533.029,22.880.893.204.796,5871047533029.0,22880893204796.0
Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,,
Tiền chi mua công ty con mới (trừ đi số dư tiền của công ty con tại ngày mua),Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi mua công ty con mới (trừ đi số dư tiền của công ty con tại ngày mua),Tiền chi mua công ty con mới (trừ đi số dư tiền của công ty con tại ngày mua),(1.771.690.659.848),(1.691.523.942.666),-1771690659848.0,-1691523942666.0
Tiền chi mua thêm cố phần của công ty con,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi mua thêm cố phần của công ty con,Tiền chi mua thêm cố phần của công ty con,(3.235.777.150.500),-,-3235777150500.0,
