row_label_raw,row_label_full,Chi phí lãi vay (bao gồm chi phí phát hành trái phiếu phân bổ trong năm) > Lỗ do đánh giá lại giá trị hợp lý của khoản đầu tư,Năm nay > 3.401.633.686.717 > -,Đơn vị tính: VNDNăm trước > 4.308.066.793.490 > 805.779.509.476,numeric__Năm nay > 3.401.633.686.717 > -,numeric__Đơn vị tính: VNDNăm trước > 4.308.066.793.490 > 805.779.509.476
Lỗ chênh lệch tỷ giá(Hoàn nhập)/trích lập dự phòng giảm giá các khoản đầu tư,Lỗ chênh lệch tỷ giá(Hoàn nhập)/trích lập dự phòng giảm giá các khoản đầu tư,Lỗ chênh lệch tỷ giá(Hoàn nhập)/trích lập dự phòng giảm giá các khoản đầu tư,77.396.775.528,167.939.028.065,77396775528.0,167939028065.0
Lỗ chênh lệch tỷ giá(Hoàn nhập)/trích lập dự phòng giảm giá các khoản đầu tư,Lỗ chênh lệch tỷ giá(Hoàn nhập)/trích lập dự phòng giảm giá các khoản đầu tư,Lỗ chênh lệch tỷ giá(Hoàn nhập)/trích lập dự phòng giảm giá các khoản đầu tư,(5.301.780.607),60.231.560.196,-5301780607.0,60231560196.0
Lỗ từ thanh lý các khoản đầu tư,Lỗ từ thanh lý các khoản đầu tư,Lỗ từ thanh lý các khoản đầu tư,195.811.317.444,1.427.774.551,195811317444.0,1427774551.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,117.443.559.632,45.589.406.409,117443559632.0,45589406409.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.786.983.558.714,5.389.034.072.187,3786983558714.0,5389034072187.0
