row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí nhân viên bán hàng,Chi phí bán hàng > - Chi phí nhân viên bán hàng,- Chi phí nhân viên bán hàng,1.760.005.800.800,1.464.088.652.679,1760005800800.0,1464088652679.0
- Chi phí vật liệu và công cụ dụng cụ,Chi phí bán hàng > - Chi phí vật liệu và công cụ dụng cụ,- Chi phí vật liệu và công cụ dụng cụ,197.124.894.180,151.577.651.970,197124894180.0,151577651970.0
- Chi phí khấu hao tài sản cố định,Chi phí bán hàng > - Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,632.102.514.317,511.786.167.997,632102514317.0,511786167997.0
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,5.344.099.598.901,4.134.457.194.645,5344099598901.0,4134457194645.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,217.123.184.429,410.906.027.727,217123184429.0,410906027727.0
,,,8.150.455.992.627,6.672.815.695.018,8150455992627.0,6672815695018.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên quản lý,- Chi phí nhân viên quản lý,1.658.786.632.069,1.517.028.703.068,1658786632069.0,1517028703068.0
- Chi phí khấu hao tài sản cố định và lợi thế thương mại,Chi phí quản lý doanh nghiệp > - Chi phí khấu hao tài sản cố định và lợi thế thương mại,- Chi phí khấu hao tài sản cố định và lợi thế thương mại,1.200.962.194.563,1.298.066.950.586,1200962194563.0,1298066950586.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,1.780.362.595.934,832.123.777.653,1780362595934.0,832123777653.0
- Chi phí hỗ trợ và từ thiện,Chi phí quản lý doanh nghiệp > - Chi phí hỗ trợ và từ thiện,- Chi phí hỗ trợ và từ thiện,1.151.439.977.424,1.326.843.735.337,1151439977424.0,1326843735337.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,1.060.896.361.965,507.777.924.168,1060896361965.0,507777924168.0
,,,6.852.447.761.955,5.481.841.090.812,6852447761955.0,5481841090812.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,15.002.903.754.582,12.154.656.785.830,15002903754582.0,12154656785830.0
