row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý được xác định tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,35.286.299.868,35286299868.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,191.777.550.911,191777550911.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,14.641.646.769,14641646769.0
Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 19.1.2),Tài sản > Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 19.1.2),Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 19.1.2),13.989.202.387,13989202387.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,20.632.471.738,20632471738.0
,,,276.327.171.673,276327171673.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,2.164.962.660,2164962660.0
Thuế thu nhập hoãn lại phải trả (Thuyết minh số 35.3),Nợ phải trả > Thuế thu nhập hoãn lại phải trả (Thuyết minh số 35.3),Thuế thu nhập hoãn lại phải trả (Thuyết minh số 35.3),4.082.402.914,4082402914.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,4.499.316.420,4499316420.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,265.580.489.679,265580489679.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(45.804.586.581),-45804586581.0
Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),11.056.322.262,11056322262.0
Tổng giá phí hợp nhất kinh doanh (i),Nợ phải trả > Tổng giá phí hợp nhất kinh doanh (i),Tổng giá phí hợp nhất kinh doanh (i),230.832.225.360,230832225360.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,35.286.299.868,35286299868.0
Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2017,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2017,Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2017,(148.500.000.000),-148500000000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(113.213.700.132),-113213700132.0
