row_label_raw,row_label_full,Công ty Du lịch Phú Quốc,Công ty liên kết (từ ngày 22 tháng 12 năm 2016),Phải trả từ hợp đồng hợp tác kinh doanh Phải trả thuế giá trị gia tăng được cán trừ thu hộ,-,700.000.000.000,numeric__Công ty liên kết (từ ngày 22 tháng 12 năm 2016),numeric__Phải trả từ hợp đồng hợp tác kinh doanh Phải trả thuế giá trị gia tăng được cán trừ thu hộ,numeric__-,numeric__700.000.000.000
Cá nhân khác,Cá nhân khác,Cá nhân khác,Thành viên quản lý chủ chốt,Tiền đặt cọc mua biệt thự tại một số dự án,299.916.673.750,-,,,299916673750.0,
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải trả khác,-,4.005.807.992,,,,4005807992.0
,,,,,299.916.673.750,705.412.887.222,,,299916673750.0,705412887222.0
