row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Tập đoàn Đầu tư Việt Nam > Công ty Ngọc Viễn Đông,Mối quan hệ > Cùng chủ sở hữu > Công ty liên kết (đến ngày 20 tháng 6 năm 2016),Nội dung nghiệp vụ > Phải trả từ việc hủy giao dịch chuyển nhượng đất > Hoàn trả tiền đất do hủy giao dịch chuyển nhượng > Phải thu từ doanh thu phí sử dụng hạ tầng > Thu tiền từ doanh thu phí sử dụng hạ tầng > Phải trả phí văn phòng và ăn trưa nhân viên > Trả tiền phí văn phòng và ăn trưa nhân viên > Trả tiền gốc vay,Năm nay VND > - > 14.306.902.913 > (14.306.902.913) > (68.616.761.389) > 67.941.472.898 > -,Năm trước VND > (432.848.844.386) > 404.235.038.561 > 28.613.805.825 > - > (49.273.329.999) > 49.273.329.999 > 424.700.000.000,numeric__Mối quan hệ > Cùng chủ sở hữu > Công ty liên kết (đến ngày 20 tháng 6 năm 2016),numeric__Nội dung nghiệp vụ > Phải trả từ việc hủy giao dịch chuyển nhượng đất > Hoàn trả tiền đất do hủy giao dịch chuyển nhượng > Phải thu từ doanh thu phí sử dụng hạ tầng > Thu tiền từ doanh thu phí sử dụng hạ tầng > Phải trả phí văn phòng và ăn trưa nhân viên > Trả tiền phí văn phòng và ăn trưa nhân viên > Trả tiền gốc vay,numeric__Năm nay VND > - > 14.306.902.913 > (14.306.902.913) > (68.616.761.389) > 67.941.472.898 > -,numeric__Năm trước VND > (432.848.844.386) > 404.235.038.561 > 28.613.805.825 > - > (49.273.329.999) > 49.273.329.999 > 424.700.000.000
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Chỉ phí từ thiện phát sinh,(1.026.142.915.754),(1.024.460.000.000),,,-1026142915754.0,-1024460000000.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Chuyển tiền cho mục đích từ thiện,1.497.025.000.000,670.000.000.000,,,1497025000000.0,670000000000.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu từ cung cấp dịch vụ xây dựng,20.167.028.122,84.924.238.604,,,20167028122.0,84924238604.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Thu tiền từ cung cấp dịch vụ xây dựng,(19.165.607.752),(147.991.950.236),,,-19165607752.0,-147991950236.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu dịch vụ khám chữa bệnh,360.290.551.174,-,,,360290551174.0,
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Thu tiền dịch vụ khám chữa bệnh,(242.714.280.455),-,,,-242714280455.0,
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết (từ ngày 22 tháng 12 năm 2016),Trả tiền theo hợp đồng hợp tác kinh doanh,700.000.000.000,-,,,700000000000.0,
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết (từ ngày 22 tháng 12 năm 2016),Phải trả thuế giá trị gia tăng được cần trừ,(575.773.062.640),-,,,-575773062640.0,
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết (từ ngày 22 tháng 12 năm 2016),Trả tiền thuế giá trị gia tăng được cần trừ thu hộ,275.856.388.890,-,,,275856388890.0,
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết (từ ngày 22 tháng 12 năm 2016),Phải trả cổ tức,(125.000.000.000),-,,,-125000000000.0,
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết (từ ngày 22 tháng 12 năm 2016),Thanh toán cổ tức,125.000.000.000,-,,,125000000000.0,
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết (từ ngày 22 tháng 12 năm 2016),Phải thu dịch vụ quản lý tổng thầu và cung cấp vật liệu xây dựng,105.138.169.727,-,,,105138169727.0,
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết (từ ngày 22 tháng 12 năm 2016),Thu tiền dịch vụ quản lý tổng thầu và cung cấp vật liệu xây dựng,(105.138.169.727),-,,,-105138169727.0,
