row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,672.569.770.071,672569770071.0
Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,1.118.410.842.439,1118410842439.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,7.684.239.828.536,7684239828536.0
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, phải thu khác","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, phải thu khác","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, phải thu khác",974.465.191.355,974465191355.0
Dự phòng về cho vay khó đòi,Dự phòng về cho vay khó đòi,Dự phòng về cho vay khó đòi,(127.240.478.176),-127240478176.0
Dự phòng phải thu về lãi cho vay khó đòi,Dự phòng phải thu về lãi cho vay khó đòi,Dự phòng phải thu về lãi cho vay khó đòi,(54.570.437.734),-54570437734.0
Chi phí lãi vay trả trước,Chi phí lãi vay trả trước,Chi phí lãi vay trả trước,4.968.379.121,4968379121.0
Các khoản đặt cọc về chuyển nhượng khoản đầu tư,Các khoản đặt cọc về chuyển nhượng khoản đầu tư,Các khoản đặt cọc về chuyển nhượng khoản đầu tư,818.750.000.000,818750000000.0
Chi phí thuế thu nhập doanh nghiệp trả trước,Chi phí thuế thu nhập doanh nghiệp trả trước,Chi phí thuế thu nhập doanh nghiệp trả trước,558.615.647.813,558615647813.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,1.099.347.699.941,1099347699941.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,213.678.380.799,213678380799.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,269.026.341.080,269026341080.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,6.485.785.915.017,6485785915017.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,337.979.519.507,337979519507.0
Tổng cộng,Tổng cộng,Tổng cộng,20.056.026.599.769,20056026599769.0
