row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thự,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thự,Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thự,609.257.787.507,374.544.782.280,609257787507.0,374544782280.0
Doanh thu chưa thực hiện từ dịch vụ giáo dục,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ giáo dục,Doanh thu chưa thực hiện từ dịch vụ giáo dục,682.776.358.364,281.220.641.246,682776358364.0,281220641246.0
Doanh thu chưa thực hiện từ chương trình khách hàng thân thiết Vingroup Card,Ngắn hạn: > Doanh thu chưa thực hiện từ chương trình khách hàng thân thiết Vingroup Card,Doanh thu chưa thực hiện từ chương trình khách hàng thân thiết Vingroup Card,262.847.850.899,122.751.293.234,262847850899.0,122751293234.0
"Doanh thu chưa thực hiện từ dịch vụ du lịch, khách sạn và giải trí","Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ du lịch, khách sạn và giải trí","Doanh thu chưa thực hiện từ dịch vụ du lịch, khách sạn và giải trí",92.362.235.975,284.235.383.964,92362235975.0,284235383964.0
Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,16.576.272.128,24.775.727.931,16576272128.0,24775727931.0
Doanh thu chưa thực hiện từ dịch vụ khác,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,91.610.971.663,51.310.830.403,91610971663.0,51310830403.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,1.755.431.476.536,1.138.838.659.058,1755431476536.0,1138838659058.0
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,
Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thự,Dải hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thự,Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thự,5.459.695.246.103,2.286.854.496.566,5459695246103.0,2286854496566.0
Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Dải hạn: > Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,25.698.532.007,57.194.087.287,25698532007.0,57194087287.0
Doanh thu chưa thực hiện từ dịch vụ khác,Dải hạn: > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,49.965.584.668,45.715.997.629,49965584668.0,45715997629.0
TỔNG CỘNG,Dải hạn: > TỔNG CỘNG,TỔNG CỘNG,5.535.359.362.778,2.389.764.581.482,5535359362778.0,2389764581482.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 36),Trong đó: > Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 36),Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 36),70.705.898.141,81.871.768.284,70705898141.0,81871768284.0
