row_label_raw,row_label_full,col_0,Kinh doanh chuyển nhượng bất động sản,Kinh doanh cho thuế bất động sản đầu tư và các dịch vụ liên quan,"Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",Kinh doanh dịch vụ bệnh viện và các dịch vụ liên quan,Kinh doanh dịch vụ giáo dục và các dịch vụ liên quan,Kinh doanh dịch vụ bản lẻ,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Kinh doanh chuyển nhượng bất động sản,numeric__Kinh doanh cho thuế bất động sản đầu tư và các dịch vụ liên quan,"numeric__Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",numeric__Kinh doanh dịch vụ bệnh viện và các dịch vụ liên quan,numeric__Kinh doanh dịch vụ giáo dục và các dịch vụ liên quan,numeric__Kinh doanh dịch vụ bản lẻ,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,62.481.688.023.505,4.409.827.940.217,5.455.403.903.960,1.852.289.531.525,1.012.609.580.119,13.052.677.844.258,1.085.551.774.329,-,89.350.048.597.913,62481688023505.0,4409827940217.0,5455403903960.0,1852289531525.0,1012609580119.0,13052677844258.0,1085551774329.0,,89350048597913.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),548.764.247.918,1.474.537.360.971,1.054.724.896.494,31.659.327.222,-,1.359.624.437.507,8.172.751.670.233,(12.642.061.940.345),-,548764247918.0,1474537360971.0,1054724896494.0,31659327222.0,,1359624437507.0,8172751670233.0,-12642061940345.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,63.030.452.271.423,5.884.365.301.188,6.510.128.800.454,1.883.948.858.747,1.012.609.580.119,14.412.302.281.765,9.258.303.444.562,(12.642.061.940.345),89.350.048.597.913,63030452271423.0,5884365301188.0,6510128800454.0,1883948858747.0,1012609580119.0,14412302281765.0,9258303444562.0,-12642061940345.0,89350048597913.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,-,-,-,-,-,-,-,-,-,,,,,,,,,
Khấu hao và hao mòn,Kết quả hoạt động kinh doanh > Khấu hao và hao mòn,Khấu hao và hao mòn,757.697.321.420,927.956.243.923,943.853.653.447,390.765.326.657,40.922.158.020,816.842.728.653,107.395.835.419,-,3.985.433.267.539,757697321420.0,927956243923.0,943853653447.0,390765326657.0,40922158020.0,816842728653.0,107395835419.0,,3985433267539.0
Phần được chia tử lãi/(lỗ) của công ty liên kết,Kết quả hoạt động kinh doanh > Phần được chia tử lãi/(lỗ) của công ty liên kết,Phần được chia tử lãi/(lỗ) của công ty liên kết,-,-,(9.037.187.612),-,-,134.159.176,53.303.956.033,-,44.400.927.597,,,-9037187612.0,,,134159176.0,53303956033.0,,44400927597.0
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),17.360.186.831.131,1.884.015.664.620,(2.356.206.611.953),(740.379.184.766),69.207.829.362,(3.900.615.862.572),(451.869.945.614),(2.750.057.241.632),9.114.281.478.576,17360186831131.0,1884015664620.0,-2356206611953.0,-740379184766.0,69207829362.0,-3900615862572.0,-451869945614.0,-2750057241632.0,9114281478576.0
Tài sản,Tài sản,Tài sản,-,-,-,-,-,-,-,-,-,,,,,,,,,
Đầu tư vào công ty liên kết,Tài sản > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,-,-,2.387.075.724.427,-,-,47.788.263.901,4.760.612.467,-,2.439.624.600.795,,,2387075724427.0,,,47788263901.0,4760612467.0,,2439624600795.0
Chi phí vốn tăng trong năm,Tài sản > Chi phí vốn tăng trong năm,Chi phí vốn tăng trong năm,3.476.763.918.001,787.855.737.487,7.345.785.735.189,2.368.688.105.376,1.650.700.502.711,404.446.859.528,1.945.317.874.370,-,17.979.558.732.662,3476763918001.0,787855737487.0,7345785735189.0,2368688105376.0,1650700502711.0,404446859528.0,1945317874370.0,,17979558732662.0
Tổng tài sản (3),Tài sản > Tổng tài sản (3),Tổng tài sản (3),106.130.151.659.516,32.629.148.834.227,27.005.847.457.774,7.529.049.834.746,2.114.086.629.622,11.331.605.250.245,6.996.140.718.698,20.056.026.599.769,213.792.056.984.597,106130151659516.0,32629148834227.0,27005847457774.0,7529049834746.0,2114086629622.0,11331605250245.0,6996140718698.0,20056026599769.0,213792056984597.0
Tổng nợ phải trả (4),Tài sản > Tổng nợ phải trả (4),Tổng nợ phải trả (4),86.286.947.713.141,1.479.287.907.326,9.286.962.365.169,746.880.093.451,705.415.779.608,2.608.907.630.168,1.427.920.909.110,58.692.724.408.969,161.235.046.806.942,86286947713141.0,1479287907326.0,9286962365169.0,746880093451.0,705415779608.0,2608907630168.0,1427920909110.0,58692724408969.0,161235046806942.0
