row_label_raw,row_label_full,Mãsố,CHỈ TIÊU,col_2,Ngày 31 tháng 12năm 2016(Đã được trình bàytrước đây),Trình bày lại,Đơn vị tính: VNDNgày 31 tháng 12năm 2016(Được trình bày lại),numeric__CHỈ TIÊU,numeric__col_2,numeric__Ngày 31 tháng 12năm 2016(Đã được trình bàytrước đây),numeric__Trình bày lại,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2016(Được trình bày lại)
Mãsố,Mãsố,Mãsố,BẢNG CẦN ĐỐI KẾTOÁN HỢP NHẮT,,,,,,,,,
141,Mãsố > 141,141,Hàng tồn kho,(2),49.879.776.253.837,5.392.439.576.588,55.272.215.830.425,,-2.0,49879776253837.0,5392439576588.0,55272215830425.0
227,Mãsố > 227,227,Tài sản cố định vôhình,(1),811.909.201.738,2.180.454.112,814.089.655.850,,-1.0,811909201738.0,2180454112.0,814089655850.0
228,Mãsố > 228,228,Nguyên giá,(1),1.171.451.553.652,2.180.454.112,1.173.632.007.764,,-1.0,1171451553652.0,2180454112.0,1173632007764.0
242,Mãsố > 242,242,Chi phí xây dựng cơbản dở dang,(1),33.991.567.265.462,237.860.319.916,34.229.427.585.378,,-1.0,33991567265462.0,237860319916.0,34229427585378.0
252,Mãsố > 252,252,Đầu tư vào công tyliên kết,(1),1.728.809.250.992,1.474.225.028,1.730.283.476.020,,-1.0,1728809250992.0,1474225028.0,1730283476020.0
253,Mãsố > 253,253,Đầu tư góp vốn vàođơn vị khác,(1),1.604.928.401.863,11.312.886.668,1.616.241.288.531,,-1.0,1604928401863.0,11312886668.0,1616241288531.0
269,Mãsố > 269,269,Lợi thể thương mại,"(1),(2)",8.240.254.012.956,(2.620.491.211.382),5.619.762.801.574,,,8240254012956.0,-2620491211382.0,5619762801574.0
421b,Mãsố > 421b,421b,Lợi nhuận sau thuếchưa phân phối kỳnày,(2),,,,,-2.0,,,
429,Mãsố > 429,429,Lợi ích của cổ đôngkhông kiểm soát,"(1),(2)",540.045.391.288,945.077.264.616,1.485.122.655.904,,,540045391288.0,945077264616.0,1485122655904.0
,,,,,18.384.089.333.236,2.079.698.986.314,20.463.788.319.550,,,18384089333236.0,2079698986314.0,20463788319550.0
,,,BẢO CẢO KẾT QUẢHOẠT ĐỘNG KINHDOANH HỢP NHẮT,,,,,,,,,
21,Mãsố > 21,21,Doanh thu hoạtđộng tài chính,(2),5.861.556.630.724,900.827.893.419,6.762.384.524.143,,-2.0,5861556630724.0,900827893419.0,6762384524143.0
26,Mãsố > 26,26,Chi phí quản lýdoanh nghiệp,(2),(5.526.090.462.009),44.249.371.197,(5.481.841.090.812),,-2.0,-5526090462009.0,44249371197.0,-5481841090812.0
