row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng trong năm,Số phát sinh trong năm > Giảm trong năm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng trong năm,numeric__Số phát sinh trong năm > Giảm trong năm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,26.2.1,10.383.219.417.884,10.383.219.417.884,397.279.162.042,(2.865.655.030.761),7.914.843.549.165,7.914.843.549.165,2621.0,10383219417884.0,10383219417884.0,397279162042.0,-2865655030761.0,7914843549165.0,7914843549165.0
Khoản vay chuyển đổi,Khoản vay chuyển đổi,Khoản vay chuyển đổi,,449.616.637.420,449.616.637.420,2.490.190.350,(452.106.827.770),-,-,,449616637420.0,449616637420.0,2490190350.0,-452106827770.0,,
Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,26.2.2,23.335.990.548.299,23.335.990.548.299,16.455.589.711.999,(16.486.897.912.419),23.304.682.347.879,23.304.682.347.879,2622.0,23335990548299.0,23335990548299.0,16455589711999.0,-16486897912419.0,23304682347879.0,23304682347879.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,34.168.826.603.603,34.168.826.603.603,16.855.359.064.391,(19.804.659.770.950),31.219.525.897.044,31.219.525.897.044,,34168826603603.0,34168826603603.0,16855359064391.0,-19804659770950.0,31219525897044.0,31219525897044.0
