row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,9.114.281.478.576,6.737.836.230.994,9114281478576.0,6737836230994.0
Thuế tính theo thuế suất của công ty,Thuế tính theo thuế suất của công ty,Thuế tính theo thuế suất của công ty,1.822.856.295.715,1.347.567.246.199,1822856295715.0,1347567246199.0
Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,(48.167.566.177),(18.322.899.619),-48167566177.0,-18322899619.0
Lỗ của các công ty con,Lỗ của các công ty con,Lỗ của các công ty con,715.750.676.139,611.427.189.860,715750676139.0,611427189860.0
Phân bổ chênh lệch giữa giá phí và giá trị ghi số tài sản thuần khi mua nhóm tài sản,Phân bổ chênh lệch giữa giá phí và giá trị ghi số tài sản thuần khi mua nhóm tài sản,Phân bổ chênh lệch giữa giá phí và giá trị ghi số tài sản thuần khi mua nhóm tài sản,47.546.879.625,58.954.221.404,47546879625.0,58954221404.0
Chi phí từ thiện,Chi phí từ thiện,Chi phí từ thiện,226.062.067.181,245.641.012.215,226062067181.0,245641012215.0
Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,180.212.541.902,209.613.692.836,180212541902.0,209613692836.0
"Ảnh hưởng các giao dịch mua bán, chuyển nhượng cổ phần trên báo cáo tài chính hợp nhất","Ảnh hưởng các giao dịch mua bán, chuyển nhượng cổ phần trên báo cáo tài chính hợp nhất","Ảnh hưởng các giao dịch mua bán, chuyển nhượng cổ phần trên báo cáo tài chính hợp nhất",(26.094.768.983),(326.571.845.091),-26094768983.0,-326571845091.0
Điều chỉnh ưu đãi thuế TNDN,Điều chỉnh ưu đãi thuế TNDN,Điều chỉnh ưu đãi thuế TNDN,(23.876.399.414),(8.155.490.173),-23876399414.0,-8155490173.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,(8.880.185.519),(3.964.717.748),-8880185519.0,-3964717748.0
Thu nhập từ cổ tức,Thu nhập từ cổ tức,Thu nhập từ cổ tức,(2.667.661.360),(3.675.443.335),-2667661360.0,-3675443335.0
Dự phòng không theo quy định,Dự phòng không theo quy định,Dự phòng không theo quy định,79.009.251.644,-,79009251644.0,
Các khoản khác,Các khoản khác,Các khoản khác,58.167.350.616,33.197.257.623,58167350616.0,33197257623.0
Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(91.839.202.827),(221.028.790.676),-91839202827.0,-221028790676.0
Lỗ từ các hoạt động kinh doanh không được bù trừ,Lỗ từ các hoạt động kinh doanh không được bù trừ,Lỗ từ các hoạt động kinh doanh không được bù trừ,531.260.408.808,355.009.640.377,531260408808.0,355009640377.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,3.459.339.687.350,2.279.691.073.872,3459339687350.0,2279691073872.0
