row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phát sinh trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,519.145.453.004,4.265.194.639.762,(4.479.011.339.134),305.328.753.632,519145453004.0,4265194639762.0,-4479011339134.0,305328753632.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.279.432.234.001,3.926.298.110.828,(3.890.618.182.474),1.315.112.162.355,1279432234001.0,3926298110828.0,-3890618182474.0,1315112162355.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,65.955.384.490,967.703.664.516,(942.609.479.683),91.049.569.323,65955384490.0,967703664516.0,-942609479683.0,91049569323.0
Tiền sử dụng đất và tiền thuê đất phải nộp,Phải nộp > Tiền sử dụng đất và tiền thuê đất phải nộp,Tiền sử dụng đất và tiền thuê đất phải nộp,5.474.528.647.601,1.681.309.782.456,(4.014.056.728.064),3.141.781.701.993,5474528647601.0,1681309782456.0,-4014056728064.0,3141781701993.0
Thuế và các khoản phải nộp Nhà nước khác,Phải nộp > Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,27.485.214.645,260.495.946.647,(208.148.111.934),79.833.049.358,27485214645.0,260495946647.0,-208148111934.0,79833049358.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,7.366.546.933.741,11.101.002.144.209,(13.534.443.841.289),4.933.105.236.661,7366546933741.0,11101002144209.0,-13534443841289.0,4933105236661.0
,,,Số đầu năm,Số phát sinh trong năm,Số đã thu trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,45.050.552.224,166.106.490.796,(9.302.188.877),201.854.854.143,45050552224.0,166106490796.0,-9302188877.0,201854854143.0
Thuế và các khoản phải thu Nhà nước khác,Phải thu > Thuế và các khoản phải thu Nhà nước khác,Thuế và các khoản phải thu Nhà nước khác,66.406.983.184,8.330.654.303,(62.914.110.831),11.823.526.656,66406983184.0,8330654303.0,-62914110831.0,11823526656.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,111.457.535.408,174.437.145.099,(72.216.299.708),213.678.380.799,111457535408.0,174437145099.0,-72216299708.0,213678380799.0
