row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty Tập đoàn Kỹ nghệ gỗ Trường Thành,Môi quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty liên kết (đến ngày 7 tháng 4 năm 2017),Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Tạm ứng cung cấp gỗ,Số cuối năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > -,Số đầu năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > 17.538.001.271,numeric__Môi quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty liên kết (đến ngày 7 tháng 4 năm 2017),numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Tạm ứng cung cấp gỗ,numeric__Số cuối năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > -,numeric__Số đầu năm VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > 17.538.001.271
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Ứng trước chi phí từ thiện,92.448.663.563,-,,,92448663563.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,Bên liên quan khác,Tạm ứng,-,1.213.992.000,,,,1213992000.0
,,,,,92.448.663.563,18.751.993.271,,,92448663563.0,18751993271.0
Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),,,,
Công ty Tập đoàn Kỹ nghệ gỗ Trường Thành,Phải thu về cho vay (Thuyết minh số 8) > Công ty Tập đoàn Kỹ nghệ gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ gỗ Trường Thành,Công ty liên kết (đến ngày 7 tháng 4 năm 2017),Cho vay ngắn hạn,-,1.367.725.527.787,,,,1367725527787.0
,,,,,-,1.367.725.527.787,,,,1367725527787.0
Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),Phải thu khác (Thuyết minh số 9),,,,
Quỹ Thiện Tâm,Phải thu khác (Thuyết minh số 9) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu chi phí từ thiện,-,1.066.579.317,,,,1066579317.0
Công ty Tập đoàn Kỹ nghệ gỗ Trường Thành,Phải thu khác (Thuyết minh số 9) > Công ty Tập đoàn Kỹ nghệ gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ gỗ Trường Thành,Công ty liên kết (đến ngày 7 tháng 4 năm 2017),Phải thu lãi vay,-,8.284.768.374,,,,8284768374.0
,,,,,-,9.351.347.691,,,,9351347691.0
Phải trả người bán (Thuyết minh số 21.1),Phải trả người bán (Thuyết minh số 21.1),Phải trả người bán (Thuyết minh số 21.1),Phải trả người bán (Thuyết minh số 21.1),Phải trả người bán (Thuyết minh số 21.1),Phải trả người bán (Thuyết minh số 21.1),Phải trả người bán (Thuyết minh số 21.1),,,,
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Phải trả người bán (Thuyết minh số 21.1) > Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Cùng chủ sở hữu,Phải trả cung cấp hàng hóa dịch vụ,4.543.547.368,5.218.835.859,,,4543547368.0,5218835859.0
,,,,,4.543.547.368,5.218.835.859,,,4543547368.0,5218835859.0
Người mua trả tiền trước (Thuyết minh số 21.2),Người mua trả tiền trước (Thuyết minh số 21.2),Người mua trả tiền trước (Thuyết minh số 21.2),Người mua trả tiền trước (Thuyết minh số 21.2),Người mua trả tiền trước (Thuyết minh số 21.2),Người mua trả tiền trước (Thuyết minh số 21.2),Người mua trả tiền trước (Thuyết minh số 21.2),,,,
Quỹ Thiện Tâm,Người mua trả tiền trước (Thuyết minh số 21.2) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Tạm ứng tiền khám chữa bệnh,-,2.394.046.903,,,,2394046903.0
,,,,,-,2.394.046.903,,,,2394046903.0
