row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số cuối năm_3,Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại)_1,Số đầu năm (Trình bày lại)_2,Số đầu năm (Trình bày lại)_3,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số cuối năm_3,numeric__Số đầu năm (Trình bày lại),numeric__Số đầu năm (Trình bày lại)_1,numeric__Số đầu năm (Trình bày lại)_2,numeric__Số đầu năm (Trình bày lại)_3
,,,Số lượng cổ phiếu,Tỷ lệ biểu quyết (%),Giá gốc (VND),Dự phòng (VND),Số lượng cổ phiếu,Tỷ lệ biểu quyết (%),Giá gốc (VND),Dự phòng (VND),,,,,,,,
Công ty Cổ phần Truyền thông Thanh niên,Công ty Cổ phần Truyền thông Thanh niên,Công ty Cổ phần Truyền thông Thanh niên,400.000,"3,87",12.400.000.000,-,400.000,"3,87",12.400.000.000,-,400000.0,3.87,12400000000.0,,400000.0,3.87,12400000000.0,
Công ty Cổ phần Phát triển Năng lượng Thuận Phong,Công ty Cổ phần Phát triển Năng lượng Thuận Phong,Công ty Cổ phần Phát triển Năng lượng Thuận Phong,-,-,-,-,300.000,"3,00",3.000.000.000,-,,,,,300000.0,3.0,3000000000.0,
Tổng Công ty Đệt may Việt Nam (iii),Tổng Công ty Đệt may Việt Nam (iii),Tổng Công ty Đệt may Việt Nam (iii),50.000.000,"10,00",552.395.000.000,-,50.000.000,"10,00",552.395.000.000,-,50000000.0,10.0,552395000000.0,,50000000.0,10.0,552395000000.0,
Công ty Liên doanh TNHH Kim Ngọc,Công ty Liên doanh TNHH Kim Ngọc,Công ty Liên doanh TNHH Kim Ngọc,(i),"15,20",17.467.729.348,(9.125.891.479),(i),"15,20",17.467.729.348,-,,15.2,17467729348.0,-9125891479.0,,15.2,17467729348.0,
Công ty TNHH Đầu tư phát triển đô thị Ngọc Viễn Đông,Công ty TNHH Đầu tư phát triển đô thị Ngọc Viễn Đông,Công ty TNHH Đầu tư phát triển đô thị Ngọc Viễn Đông,(i),"9,62",521.071.699.183,-,(i),"9,62",521.071.699.183,-,,9.62,521071699183.0,,,9.62,521071699183.0,
Công ty Cổ phần Thời trang M.Y.M,Công ty Cổ phần Thời trang M.Y.M,Công ty Cổ phần Thời trang M.Y.M,6.080.000,"19,00",45.469.660.000,(41.256.656.110),5.700.000,"19,00",41.669.660.000,-,6080000.0,19.0,45469660000.0,-41256656110.0,5700000.0,19.0,41669660000.0,
Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,-,-,-,-,1.201.800,"15,02",24.487.200.000,-,,,,,1201800.0,15.02,24487200000.0,
Công ty Cổ phần Kinh doanh và Quản lý BDS Vinhomes (ii),Công ty Cổ phần Kinh doanh và Quản lý BDS Vinhomes (ii),Công ty Cổ phần Kinh doanh và Quản lý BDS Vinhomes (ii),,"18,60",1.013.750.570.893,-,(i),"12,50",443.750.000.000,(56.192.900.196),,18.6,1013750570893.0,,,12.5,443750000000.0,-56192900196.0
Công ty TNHH Cảng Văn Phong,Công ty TNHH Cảng Văn Phong,Công ty TNHH Cảng Văn Phong,(i),"15,00",13.989.202.387,-,-,-,-,-,,15.0,13989202387.0,,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,2.176.543.861.811,(50.382.547.589),,,1.616.241.288.531,(56.192.900.196),,,2176543861811.0,-50382547589.0,,,1616241288531.0,-56192900196.0
