row_label_raw,row_label_full,col_0,Giá trị hợp lý được xác địnhtạm thời tại ngày mua,Điều chỉnh giá trị hợp lý,Đơn vị tính: VNDGiá trị hợp lýsau điều chỉnh,numeric__Giá trị hợp lý được xác địnhtạm thời tại ngày mua,numeric__Điều chỉnh giá trị hợp lý,numeric__Đơn vị tính: VNDGiá trị hợp lýsau điều chỉnh
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,1.206.813.935.768,-,1.206.813.935.768,1206813935768.0,,1206813935768.0
Phải thu khách hàng,Tài sản > Phải thu khách hàng,Phải thu khách hàng,351.537.095.788,-,351.537.095.788,351537095788.0,,351537095788.0
Trả trước cho người bán,Tài sản > Trả trước cho người bán,Trả trước cho người bán,353.693.817.646,,353.693.817.646,353693817646.0,,353693817646.0
Các khoản cho vay ngắn hạn,Tài sản > Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,9.035.689.095.154,-,9.035.689.095.154,9035689095154.0,,9035689095154.0
Hàng tồn kho(Thuyết minh số 11),Tài sản > Hàng tồn kho(Thuyết minh số 11),Hàng tồn kho(Thuyết minh số 11),6.647.606.468.464,5.392.439.576.588,12.040.046.045.052,6647606468464.0,5392439576588.0,12040046045052.0
Các khoản phải thu khác,Tài sản > Các khoản phải thu khác,Các khoản phải thu khác,367.459.130.437,-,367.459.130.437,367459130437.0,,367459130437.0
Chi phí trả trước ngắn hạn,Tài sản > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,451.958.808.456,-,451.958.808.456,451958808456.0,,451958808456.0
Tài sản thuế thu nhập hoãn lại,Tài sản > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,16.226.938.919,-,16.226.938.919,16226938919.0,,16226938919.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,3.877.365.333.333,-,3.877.365.333.333,3877365333333.0,,3877365333333.0
Chi phí xây dựng cơ bản đở dang (Thuyết minh số 18),Tài sản > Chi phí xây dựng cơ bản đở dang (Thuyết minh số 18),Chi phí xây dựng cơ bản đở dang (Thuyết minh số 18),296.036.399.839,237.860.319.916,533.896.719.755,296036399839.0,237860319916.0,533896719755.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,68.680.027.976,-,68.680.027.976,68680027976.0,,68680027976.0
,,,22.673.067.051.780,5.630.299.896.504,28.303.366.948.284,22673067051780.0,5630299896504.0,28303366948284.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,205.229.551.429,-,205.229.551.429,205229551429.0,,205229551429.0
Người mua trả tiền trước,Nợ phải trả > Người mua trả tiền trước,Người mua trả tiền trước,5.618.486.690.150,-,5.618.486.690.150,5618486690150.0,,5618486690150.0
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,
Nhà nước,Thuế và các khoản phải nộp > Nhà nước,Nhà nước,76.930.249.745,-,76.930.249.745,76930249745.0,,76930249745.0
Chi phí phải trả,Thuế và các khoản phải nộp > Chi phí phải trả,Chi phí phải trả,599.409.802.823,-,599.409.802.823,599409802823.0,,599409802823.0
Doanh thu chưa thực hiện,Thuế và các khoản phải nộp > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,61.496.125.387,-,61.496.125.387,61496125387.0,,61496125387.0
Các khoản phải trả ngắn hạn khác,Thuế và các khoản phải nộp > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,2.453.417.592.577,-,2.453.417.592.577,2453417592577.0,,2453417592577.0
Phải trả dài hạn khác,Thuế và các khoản phải nộp > Phải trả dài hạn khác,Phải trả dài hạn khác,122.676.287.778,-,122.676.287.778,122676287778.0,,122676287778.0
Vay và nợ thuê tài chính dài hạn,Thuế và các khoản phải nộp > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,10.777.654.960.903,-,10.777.654.960.903,10777654960903.0,,10777654960903.0
Nợ phải trả khác,Thuế và các khoản phải nộp > Nợ phải trả khác,Nợ phải trả khác,77.848.901.682,-,77.848.901.682,77848901682.0,,77848901682.0
Tổng tài sản thuần,Thuế và các khoản phải nộp > Tổng tài sản thuần,Tổng tài sản thuần,2.679.916.889.306,5.630.299.896.504,8.310.216.785.810,2679916889306.0,5630299896504.0,8310216785810.0
Cổ đông không kiểm soát,Thuế và các khoản phải nộp > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(987.427.626.946),(2.074.509.731.248),(3.061.937.358.194),-987427626946.0,-2074509731248.0,-3061937358194.0
Lợi thể thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Thuế và các khoản phải nộp > Lợi thể thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Lợi thể thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),2.837.107.358.440,(2.610.712.900.640),226.394.457.800,2837107358440.0,-2610712900640.0,226394457800.0
