row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
"Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản",17.634.848.595.573,16.724.175.440.632,17634848595573.0,16724175440632.0
Đặt cọc cho hoạt động đầu tư (ii),Đặt cọc cho hoạt động đầu tư (ii),Đặt cọc cho hoạt động đầu tư (ii),3.273.198.353.531,2.270.266.929.290,3273198353531.0,2270266929290.0
Các khoản thu hộ phải trả,Các khoản thu hộ phải trả,Các khoản thu hộ phải trả,1.512.939.781.432,67.703.284.120,1512939781432.0,67703284120.0
Quỹ bảo trì căn hộ giữ hộ khách hàng,Quỹ bảo trì căn hộ giữ hộ khách hàng,Quỹ bảo trì căn hộ giữ hộ khách hàng,1.140.662.807.063,490.190.298.633,1140662807063.0,490190298633.0
Đặt cọc từ khách hàng thuê phải trả trong vòng 12 tháng tới (Thuyết minh số 25.2),Đặt cọc từ khách hàng thuê phải trả trong vòng 12 tháng tới (Thuyết minh số 25.2),Đặt cọc từ khách hàng thuê phải trả trong vòng 12 tháng tới (Thuyết minh số 25.2),184.697.274.921,142.961.783.374,184697274921.0,142961783374.0
Phải trả phát sinh từ hợp đồng hợp tác đầu tư,Phải trả phát sinh từ hợp đồng hợp tác đầu tư,Phải trả phát sinh từ hợp đồng hợp tác đầu tư,116.720.664.690,-,116720664690.0,
Phải trả khách hàng do hủy hợp đồng,Phải trả khách hàng do hủy hợp đồng,Phải trả khách hàng do hủy hợp đồng,44.714.739.981,78.482.282.119,44714739981.0,78482282119.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,-,385.018.955.101,,385018955101.0
Phải trả khác,Phải trả khác,Phải trả khác,553.140.200.939,309.757.882.527,553140200939.0,309757882527.0
,,,24.460.922.418.130,20.468.556.855.796,24460922418130.0,20468556855796.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 36),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 36),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 36),299.916.673.750,705.412.887.222,299916673750.0,705412887222.0
