row_label_raw,row_label_full,STT,Tên công ty,Tên viết tất,Tỷ lệ biểu quyết (%),Tỷ lệ lợi ích (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tên viết tất,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ lợi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính
12,12,12,Công ty TNHH Xalivico,Công ty Xalivico,"74,00","71,33","233 Nguyễn Trải, phường Thương Đình, quận Thanh Xuân, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,74.0,71.33,,
13,13,13,Công ty Cổ phần Trung tâm Hội chợ Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,"83,32","83,32","148 đường Giăng Võ, phường Giăng Võ, quận Ba Đình, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,83.32,83.32,,
14,14,14,Công ty Cổ phần Đầu tư Kinh doanh và Phát triển Đô thị Ngôi Sao Phương Nam,Công ty Ngôi Sao Phương Nam,"100,00","99,99","Số 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,99.99,,
15,15,15,Công ty Cổ phần Phát triển thể thao và giải trí Mễ Trì,Công ty Mễ Trì,"100,00","98,86","Số 7 Đại Lộ Thăng Long, phường Mễ Trì, quận Nam Từ Liêm, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,98.86,,
16,16,16,Công ty TNHH Metropolis Hà Nội,Công ty Metropolis Hà Nội,"100,00","59,86","Lô đất HH, đường Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,59.86,,
17,17,17,Công ty Cổ phần sách Việt Nam,Công ty Sách Việt Nam,"65,33","65,33","Số 44 phố Tràng Tiền, phường Tràng Tiền, quận Hoàn Kiểm, TP Hà Nội",Xuất bản sách,,,65.33,65.33,,
18,18,18,Công ty Cổ phần Đô thị Du lịch Cần Giờ,Công ty Cần Giờ,"99,05","94,09","Số 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,99.05,94.09,,
19,19,19,Công ty Cổ phần Đầu tư dịch vụ Thương Mại thành phố Hồ Chí Minh,Công ty Vicentra,"100,00","99,99","72 Lê Thánh Tôn - phường Bến Nghé - quận 1, TP Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,99.99,,
20,20,20,Công ty TNHH Phát triển Công viên Trung tâm,Công ty Công viên Trung tâm,"100,00","94,00","P900, tầng 9, tòa nhà IPH, số 241 Xuân Thủy, phường Dịch Vọng Hậu, quận Cầu Giấy, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,94.0,,
21,21,21,Công ty Cổ phần Đầu tư & Phát triển Sinh Thái,Công ty Sinh Thái,"100,00","98,83","Số 191, phố Bà Triệu, phường Lê Đại Hành, quận Hai Bà Trưng, TP Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,100.0,98.83,,
22,22,22,Công Ty TNHH Đầu Tư Và Phát Triển Đô Thị Gia Lâm,Công ty Đô thị Gia Lâm,"85,00","84,00",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Đầu tư, xây dựng và kinh doanh bất động sản",,,85.0,84.0,,
