row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Nguồn kinh phí và quỹ khác,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn kinh phí và quỹ khác,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Số dư năm trước,Số dư năm trước,Số dư năm trước,79.375.000.000,(289.680.000),(94.640.000),1.882.651.379,20.579.384.963,,,101.452.716.342,79375000000.0,-289680000.0,-94640000.0,1882651379.0,20579384963.0,,,101452716342.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,2.190.715.900.000,,,,,,,2.190.715.900.000,2190715900000.0,,,,,,,2190715900000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,,,,1.317.445.664,201.106.184.909,,(46.062.872.421),156.360.758.152,,,,1317445664.0,201106184909.0,,-46062872421.0,156360758152.0
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,,,,,,,,,,,,,,
Số dư nguồn vốn của cty con tại ngày mua,Tăng do trích lập từ lợi nhuận > Số dư nguồn vốn của cty con tại ngày mua,Số dư nguồn vốn của cty con tại ngày mua,,,,,,3.452.924.767.484,1.094.341.796.251,4.547.266.563.735,,,,,,3452924767484.0,1094341796251.0,4547266563735.0
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,,,,,,,,,,,,
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,,,,,,,,,,,,,,,,
Chia cổ tức,Lỗ trong năm trước > Chia cổ tức,Chia cổ tức,,,,,(10.308.378.402),,,(10.308.378.402),,,,,-10308378402.0,,,-10308378402.0
Tăng khác,Lỗ trong năm trước > Tăng khác,Tăng khác,,,,,616.375.984,,,616.375.984,,,,,616375984.0,,,616375984.0
Giảm khác,Lỗ trong năm trước > Giảm khác,Giảm khác,,289.680.000,94.640.000,,(2.924.571.328),,,(2.540.251.328),,289680000.0,94640000.0,,-2924571328.0,,,-2540251328.0
Số dư đầu năm nay,Lỗ trong năm trước > Số dư đầu năm nay,Số dư đầu năm nay,2.270.090.900.000,,,3.200.097.043,209.068.996.126,3.452.924.767.484,1.048.278.923.830,6.983.563.684.483,2270090900000.0,,,3200097043.0,209068996126.0,3452924767484.0,1048278923830.0,6983563684483.0
Tăng vốn trong năm nay,Lỗ trong năm trước > Tăng vốn trong năm nay,Tăng vốn trong năm nay,403.750.000.000,,,,,,1.808.581.540,405.558.581.540,403750000000.0,,,,,,1808581540.0,405558581540.0
Lãi trong năm này,Lỗ trong năm trước > Lãi trong năm này,Lãi trong năm này,,,,,137.187.847.817,,38.376.491.377,175.564.339.194,,,,,137187847817.0,,38376491377.0,175564339194.0
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,,,,,,,,,,,,
Tăng khác,Trích quỹ từ lợi nhuận > Tăng khác,Tăng khác,,,,,,,58.577.966.643,58.577.966.643,,,,,,,58577966643.0,58577966643.0
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,1.651.224.644,,,,1.651.224.644,,,,1651224644.0,,,,1651224644.0
Giảm vốn trong năm nay,Giảm vốn trong năm nay,Giảm vốn trong năm nay,,,,,,,,,,,,,,,,
Lỗ trong năm này,Lỗ trong năm này,Lỗ trong năm này,,,,,,,,,,,,,,,,
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,,,,,
Giảm khác,Thù lao hội đồng quản trị > Giảm khác,Giảm khác,,(208.000.000),,,(58.577.966.643),(181.152.454.682),(523.270.002),(240.461.691.327),,-208000000.0,,,-58577966643.0,-181152454682.0,-523270002.0,-240461691327.0
Số dư cuối năm,Thù lao hội đồng quản trị > Số dư cuối năm,Số dư cuối năm,2.673.840.900.000,(208.000.000),,4.851.321.687,287.678.877.300,3.271.772.312.802,1.146.518.693.388,7.384.454.105.177,2673840900000.0,-208000000.0,,4851321687.0,287678877300.0,3271772312802.0,1146518693388.0,7384454105177.0
