row_label_raw,row_label_full,Tóm tắt giá trị tài sản thuần tại ngày đầu tư thêm > Tài sản tại ngày đầu tư thêm vốn,Giá trị hợp lý ghi nhận tại ngày đầu tư thêm (VND) > 17.867.296.197.430,numeric__Giá trị hợp lý ghi nhận tại ngày đầu tư thêm (VND) > 17.867.296.197.430
Nợ phải trả,Nợ phải trả,Nợ phải trả,13.065.079.422.139,13065079422139.0
Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,3.272.394.041.093,3272394041093.0
Tài sản thuần,Tài sản thuần,Tài sản thuần,1.529.822.734.198,1529822734198.0
Lỗ từ giao dịch đầu tư thêm vốn,Lỗ từ giao dịch đầu tư thêm vốn,Lỗ từ giao dịch đầu tư thêm vốn,(827.176.169),-827176169.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,827.176.169,827176169.0
