row_label_raw,row_label_full,VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,31/12/2020 > Giá trị,31/12/2020 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2020 > Giá trị,01/01/2020 > Số có khả năng trả nợ,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,341.156.294.808,343.156.294.808,841.335.901.434,637.585.938.506,137.406.331.880,137.406.331.880,341156294808.0,343156294808.0,841335901434.0,637585938506.0,137406331880.0,137406331880.0
- NH Công Thương CN Đà Nẵng,- NH Công Thương CN Đà Nẵng,- NH Công Thương CN Đà Nẵng,154.154.979.516,154.154.979.516,244.204.005.831,218.997.469.135,128.948.442.820,128.948.442.820,154154979516.0,154154979516.0,244204005831.0,218997469135.0,128948442820.0,128948442820.0
"- Cán bộ, công nhân viên","- Cán bộ, công nhân viên","- Cán bộ, công nhân viên",3.769.419.689,3.769.419.689,,88.469.371,3.857.889.060,3.857.889.060,3769419689.0,3769419689.0,,88469371.0,3857889060.0,3857889060.0
- Công ty CP tập đoànĐèo cả,- Công ty CP tập đoànĐèo cả,- Công ty CP tập đoànĐèo cả,178.631.895.603,178.631.895.603,303.131.895.603,124.500.000.000,,,178631895603.0,178631895603.0,303131895603.0,124500000000.0,,
- Công ty Cổ PhầnTư Văn Xây dựng A2Z,- Công ty Cổ PhầnTư Văn Xây dựng A2Z,- Công ty Cổ PhầnTư Văn Xây dựng A2Z,,2.000.000.000,,2.000.000.000,2.000.000.000,2.000.000.000,,2000000000.0,,2000000000.0,2000000000.0,2000000000.0
- Công ty cổ phần đầu tư Hạ tầngMiền Bắc,- Công ty cổ phần đầu tư Hạ tầngMiền Bắc,- Công ty cổ phần đầu tư Hạ tầngMiền Bắc,,,92.000.000.000,92.000.000.000,,,,,92000000000.0,92000000000.0,,
- Công ty Cổ PhầnĐầu tư Hải Thạch B.O.T,- Công ty Cổ PhầnĐầu tư Hải Thạch B.O.T,- Công ty Cổ PhầnĐầu tư Hải Thạch B.O.T,2.000.000.000,2.000.000.000,202.000.000.000,200.000.000.000,,,2000000000.0,2000000000.0,202000000000.0,200000000000.0,,
- Công ty Cổ phần BOT Hưng Phát,- Công ty Cổ phần BOT Hưng Phát,- Công ty Cổ phần BOT Hưng Phát,2.600.000.000,2.600.000.000,,,2.600.000.000,2.600.000.000,2600000000.0,2600000000.0,,,2600000000.0,2600000000.0
Vay ngắn hạn - USD,Vay ngắn hạn - USD,Vay ngắn hạn - USD,,,,,,,,,,,,
Cộng,Vay ngắn hạn - USD > Cộng,Cộng,341.156.294.808,343.156.294.808,841.335.901.434,637.585.938.506,137.406.331.880,137.406.331.880,341156294808.0,343156294808.0,841335901434.0,637585938506.0,137406331880.0,137406331880.0
