row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị,31/12/2020 > Dự phòng,01/01/2020 > Giá trị,01/01/2020 > Dự phòng,31/12/2020,01/01/2020,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Dự phòng,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Dự phòng,numeric__31/12/2020,numeric__01/01/2020
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,276.956.612.840,,812.490.759.442,,276.956.612.840,812.490.759.442,276956612840.0,,812490759442.0,,276956612840.0,812490759442.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,41.264.674.059,(13.372.401.231),42.930.027.808,(13.314.401.231),41.264.674.059,29.615.626.577,41264674059.0,-13372401231.0,42930027808.0,-13314401231.0,41264674059.0,29615626577.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,366.991.300.016,,575.712.943.344,,366.991.300.016,575.712.943.344,366991300016.0,,575712943344.0,,366991300016.0,575712943344.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,429.271.174.391,,445.279.097.844,,429.271.174.391,445.279.097.844,429271174391.0,,445279097844.0,,429271174391.0,445279097844.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,456.987.446.758,,376.232.381.816,,456.987.446.758,376.232.381.816,456987446758.0,,376232381816.0,,456987446758.0,376232381816.0
Cộng,Cộng,Cộng,1.571.471.208.064,(13.372.401.231),2.252.645.210.254,(13.314.401.231),1.571.471.208.064,2.239.330.809.023,1571471208064.0,-13372401231.0,2252645210254.0,-13314401231.0,1571471208064.0,2239330809023.0
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị số sách,Giá trị số sách,Giá trị số sách,Giá trị số sách,Giá trị hợp lý,Giá trị hợp lý,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,31/12/2020,31/12/2020,01/01/2020,01/01/2020,31/12/2020,01/01/2020,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị,Dự phòng,Giá trị,Dự phòng,31/12/2020,01/01/2020,,,,,,
Phải trả cho người bán,b) Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,1.491.266.846.996,,1.097.329.726.551,,1.491.266.846.996,1.097.329.726.551,1491266846996.0,,1097329726551.0,,1491266846996.0,1097329726551.0
Người mua trả tiền trước,b) Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,108.803.239.940,,13.671.606.067,,108.803.239.940,13.671.606.067,108803239940.0,,13671606067.0,,108803239940.0,13671606067.0
Vay và nợ,b) Nợ phải trả tài chính > Vay và nợ,Vay và nợ,21.085.612.802.532,,20.304.695.093.734,,21.085.612.802.532,20.304.695.093.734,21085612802532.0,,20304695093734.0,,21085612802532.0,20304695093734.0
Phải trả người lao động,b) Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,15.131.354.050,,12.777.915.177,,15.131.354.050,12.777.915.177,15131354050.0,,12777915177.0,,15131354050.0,12777915177.0
Các khoản phải trả khác,b) Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,959.803.534.225,,1.239.493.642.697,,959.803.534.225,1.239.493.642.697,959803534225.0,,1239493642697.0,,959803534225.0,1239493642697.0
Cộng,b) Nợ phải trả tài chính > Cộng,Cộng,23.660.617.777.743,,22.667.967.984.226,,23.660.617.777.743,22.667.967.984.226,23660617777743.0,,22667967984226.0,,23660617777743.0,22667967984226.0
