row_label_raw,row_label_full,Tóm tắt giá trị tài sản thuần tại ngày đầu tư thêm > Tài sản tại ngày đầu tư thêm vốn,Giá trị hợp lý ghi nhận tại ngày đầu tư thêm (VNĐ) > 16.765.037.762.704,numeric__Giá trị hợp lý ghi nhận tại ngày đầu tư thêm (VNĐ) > 16.765.037.762.704
Nợ phải trả,Nợ phải trả,Nợ phải trả,12.006.758.736.363,12006758736363.0
Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,3.452.924.767.484,3452924767484.0
Tài sản thuần,Tài sản thuần,Tài sản thuần,1.305.354.258.857,1305354258857.0
Lỗ từ giao dịch đầu tư thêm vốn,Lỗ từ giao dịch đầu tư thêm vốn,Lỗ từ giao dịch đầu tư thêm vốn,(43.723.547.764),-43723547764.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,43.723.547.764,43723547764.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,,
