row_label_raw,row_label_full,Tóm tắt giá trị tài sản thuần tại ngày đầu tư thêm > Tài sản tại ngày đầu tư thêm vốn,Giá trị hợp lý ghi nhận tại ngày đầu tư thêm (VND) > 10.698.129.907.823,numeric__Giá trị hợp lý ghi nhận tại ngày đầu tư thêm (VND) > 10.698.129.907.823
Nợ phải trả,Nợ phải trả,Nợ phải trả,9.367.285.444.228,9367285444228.0
Tài sản thuần,Tài sản thuần,Tài sản thuần,1.330.844.463.595,1330844463595.0
Lỗ từ giao dịch đầu tư thêm vốn,Lỗ từ giao dịch đầu tư thêm vốn,Lỗ từ giao dịch đầu tư thêm vốn,(981.405.371),-981405371.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,981.405.371,981405371.0
