row_label_raw,row_label_full,05 . PHẢI THU KHÁC,31/12/2020,31/12/2020_1,01/01/2020,01/01/2020_1,numeric__31/12/2020,numeric__31/12/2020_1,numeric__01/01/2020,numeric__01/01/2020_1
05 . PHẢI THU KHÁC,05 . PHẢI THU KHÁC,05 . PHẢI THU KHÁC,Gía trị,Dự phòng,Gía trị,Dự phòng,,,,
a) Ngắn hạn,05 . PHẢI THU KHÁC > a) Ngắn hạn,a) Ngắn hạn,256.435.369.153,,353.152.275.866,,256435369153.0,,353152275866.0,
Tạm ứng,05 . PHẢI THU KHÁC > Tạm ứng,Tạm ứng,94.859.295.749,,116.127.573.715,,94859295749.0,,116127573715.0,
Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,,,,,,,,
"Ký cược, ký quỹ","Phải thu về cổ tức và lợi nhuận được chia > Ký cược, ký quỹ","Ký cược, ký quỹ",100.000.000,,100.000.000,,100000000.0,,100000000.0,
Phải thu khác,Phải thu về cổ tức và lợi nhuận được chia > Phải thu khác,Phải thu khác,161.476.073.404,,236.924.702.151,,161476073404.0,,236924702151.0,
+ Công ty CP Đầu tư Xây dựng Hải Thạch,Phải thu về cổ tức và lợi nhuận được chia > + Công ty CP Đầu tư Xây dựng Hải Thạch,+ Công ty CP Đầu tư Xây dựng Hải Thạch,42.685.248.547,,13.189.516.549,,42685248547.0,,13189516549.0,
+ Cục Quản lý đường bộ III,Phải thu về cổ tức và lợi nhuận được chia > + Cục Quản lý đường bộ III,+ Cục Quản lý đường bộ III,837.818.000,,837.818.000,,837818000.0,,837818000.0,
+ Công ty CP XNK Ô tô và xe chuyên dụng Việt Nam,Phải thu về cổ tức và lợi nhuận được chia > + Công ty CP XNK Ô tô và xe chuyên dụng Việt Nam,+ Công ty CP XNK Ô tô và xe chuyên dụng Việt Nam,629.090.910,,,,629090910.0,,,
+ Cho mượn - Công ty CP Tập đoàn Quốc tế Đông Á,Phải thu về cổ tức và lợi nhuận được chia > + Cho mượn - Công ty CP Tập đoàn Quốc tế Đông Á,+ Cho mượn - Công ty CP Tập đoàn Quốc tế Đông Á,3.000.000.000,,,,3000000000.0,,,
+ Công ty cổ phần Đầu tư Thương mại Quốc Tế Hà Thành,Phải thu về cổ tức và lợi nhuận được chia > + Công ty cổ phần Đầu tư Thương mại Quốc Tế Hà Thành,+ Công ty cổ phần Đầu tư Thương mại Quốc Tế Hà Thành,,,49.083.120.000,,,,49083120000.0,
+ Ban Giải phóng mặt bằng quận Liên Chiều,Phải thu về cổ tức và lợi nhuận được chia > + Ban Giải phóng mặt bằng quận Liên Chiều,+ Ban Giải phóng mặt bằng quận Liên Chiều,2.291.844.944,,76.265.927.536,,2291844944.0,,76265927536.0,
+ BQL dự án các công trình trọng điểm - UBND tinh Khánh Hòa,Phải thu về cổ tức và lợi nhuận được chia > + BQL dự án các công trình trọng điểm - UBND tinh Khánh Hòa,+ BQL dự án các công trình trọng điểm - UBND tinh Khánh Hòa,4.919.720.000,,,,4919720000.0,,,
+ Chi nhánh công ty TNHH MTV BCA Thăng Long - Xí nghiệp Đại Việt,Phải thu về cổ tức và lợi nhuận được chia > + Chi nhánh công ty TNHH MTV BCA Thăng Long - Xí nghiệp Đại Việt,+ Chi nhánh công ty TNHH MTV BCA Thăng Long - Xí nghiệp Đại Việt,,,10.293.500.000,,,,10293500000.0,
+ Công ty bảo hiểm PVI Gia Định,Phải thu về cổ tức và lợi nhuận được chia > + Công ty bảo hiểm PVI Gia Định,+ Công ty bảo hiểm PVI Gia Định,224.466.097,,5.338.754.886,,224466097.0,,5338754886.0,
+ Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Phải thu về cổ tức và lợi nhuận được chia > + Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,+ Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,3.758.872.000,,4.349.904.546,,3758872000.0,,4349904546.0,
+ Công ty Cổ Phần Xây Dương Công Trình Ngầm,Phải thu về cổ tức và lợi nhuận được chia > + Công ty Cổ Phần Xây Dương Công Trình Ngầm,+ Công ty Cổ Phần Xây Dương Công Trình Ngầm,3.070.496.900,,,,3070496900.0,,,
+ Công ty cổ phần xây dựng và đầu tư 492,Phải thu về cổ tức và lợi nhuận được chia > + Công ty cổ phần xây dựng và đầu tư 492,+ Công ty cổ phần xây dựng và đầu tư 492,4.217.137.636,,4.217.137.636,,4217137636.0,,4217137636.0,
+ Công ty TNHH đầu tư phát triển hạ tầng giao thông Việt Nam,Phải thu về cổ tức và lợi nhuận được chia > + Công ty TNHH đầu tư phát triển hạ tầng giao thông Việt Nam,+ Công ty TNHH đầu tư phát triển hạ tầng giao thông Việt Nam,24.325.400.000,,24.325.400.000,,24325400000.0,,24325400000.0,
+ Hội đồng bồi thường hỗ trợ TĐC các dự án trọng điểm trên địa bàn huyện Phú Lộc,Phải thu về cổ tức và lợi nhuận được chia > + Hội đồng bồi thường hỗ trợ TĐC các dự án trọng điểm trên địa bàn huyện Phú Lộc,+ Hội đồng bồi thường hỗ trợ TĐC các dự án trọng điểm trên địa bàn huyện Phú Lộc,26.439.285.000,,,,26439285000.0,,,
+ Trung tâm phát triển quỹ đất huyện Đông Hòa,Phải thu về cổ tức và lợi nhuận được chia > + Trung tâm phát triển quỹ đất huyện Đông Hòa,+ Trung tâm phát triển quỹ đất huyện Đông Hòa,1.720.647.866,,,,1720647866.0,,,
+ Trung tâm phát triển quỹ đất thành phố Đà Nẵng,Phải thu về cổ tức và lợi nhuận được chia > + Trung tâm phát triển quỹ đất thành phố Đà Nẵng,+ Trung tâm phát triển quỹ đất thành phố Đà Nẵng,1.520.085.456,,,,1520085456.0,,,
+ Trung tâm phát triển quỹ đất Thành Phố Quy Nhơn,Phải thu về cổ tức và lợi nhuận được chia > + Trung tâm phát triển quỹ đất Thành Phố Quy Nhơn,+ Trung tâm phát triển quỹ đất Thành Phố Quy Nhơn,8.670.686.533,,,,8670686533.0,,,
