row_label_raw,row_label_full,PHẢI TRẢ NGƯỜI BÁN,31/12/2020 > Giá trị,31/12/2020 > Số có khả năng trả nợ,Đơn vị tính: VND > Giá trị,Đơn vị tính: VND > Số có khả năng trả nợ,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Số có khả năng trả nợ,numeric__Đơn vị tính: VND > Giá trị,numeric__Đơn vị tính: VND > Số có khả năng trả nợ
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,1.066.861.291.201,1.066.861.291.201,1.097.329.726.551,1.097.329.726.551,1066861291201.0,1066861291201.0,1097329726551.0,1097329726551.0
Công ty CP XD thí nghiệm điện & trang trí nội thất EMTC3,Công ty CP XD thí nghiệm điện & trang trí nội thất EMTC3,Công ty CP XD thí nghiệm điện & trang trí nội thất EMTC3,15.344.365.177,15.344.365.177,11.867.731.900,11.867.731.900,15344365177.0,15344365177.0,11867731900.0,11867731900.0
Chi nhánh Công ty TNHH MTV BCA - Thăng Long tại TP Hồ Chí Minh,Chi nhánh Công ty TNHH MTV BCA - Thăng Long tại TP Hồ Chí Minh,Chi nhánh Công ty TNHH MTV BCA - Thăng Long tại TP Hồ Chí Minh,,,22.066.275.015,22.066.275.015,,,22066275015.0,22066275015.0
Công ty cổ phần kỹ thuật công nghiệp Á Châu,Công ty cổ phần kỹ thuật công nghiệp Á Châu,Công ty cổ phần kỹ thuật công nghiệp Á Châu,3.363.988.375,3.363.988.375,18.019.220.715,18.019.220.715,3363988375.0,3363988375.0,18019220715.0,18019220715.0
Công ty CP công nghệ Sao Bắc Đầu,Công ty CP công nghệ Sao Bắc Đầu,Công ty CP công nghệ Sao Bắc Đầu,,,63.586.665.138,63.586.665.138,,,63586665138.0,63586665138.0
Công ty Cp tư vấn xây dựng Hoàng Long,Công ty Cp tư vấn xây dựng Hoàng Long,Công ty Cp tư vấn xây dựng Hoàng Long,,,19.464.622.970,19.464.622.970,,,19464622970.0,19464622970.0
Công ty TNHH APAVE Châu á - Thái Bình Dương,Công ty TNHH APAVE Châu á - Thái Bình Dương,Công ty TNHH APAVE Châu á - Thái Bình Dương,,,20.646.941.214,20.646.941.214,,,20646941214.0,20646941214.0
Công ty TNHH NIPPON KOEI Việt Nam Internationalllc,Công ty TNHH NIPPON KOEI Việt Nam Internationalllc,Công ty TNHH NIPPON KOEI Việt Nam Internationalllc,,,13.060.562.513,13.060.562.513,,,13060562513.0,13060562513.0
CTCP Tư Vấn Xây dựng A2Z,CTCP Tư Vấn Xây dựng A2Z,CTCP Tư Vấn Xây dựng A2Z,,,24.788.623.899,24.788.623.899,,,24788623899.0,24788623899.0
Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,47.652.786.937,47.652.786.937,49.789.309.938,49.789.309.938,47652786937.0,47652786937.0,49789309938.0,49789309938.0
Công ty TNHH Xây dựng Mỹ Đà,Công ty TNHH Xây dựng Mỹ Đà,Công ty TNHH Xây dựng Mỹ Đà,39.017.659.104,39.017.659.104,45.637.546.215,45.637.546.215,39017659104.0,39017659104.0,45637546215.0,45637546215.0
Công ty CP LICOGI 16,Công ty CP LICOGI 16,Công ty CP LICOGI 16,125.106.781.619,125.106.781.619,149.232.842.022,149.232.842.022,125106781619.0,125106781619.0,149232842022.0,149232842022.0
Công ty Cổ phần tập đoàn Đèo cả,Công ty Cổ phần tập đoàn Đèo cả,Công ty Cổ phần tập đoàn Đèo cả,507.513.916.466,507.513.916.466,,,507513916466.0,507513916466.0,,
Công ty CP Đầu tư và XD ICV Việt Nam,Công ty CP Đầu tư và XD ICV Việt Nam,Công ty CP Đầu tư và XD ICV Việt Nam,20.713.793.022,20.713.793.022,,,20713793022.0,20713793022.0,,
Công ty Cổ phần Thương mại xây dựng Ánh Lộc,Công ty Cổ phần Thương mại xây dựng Ánh Lộc,Công ty Cổ phần Thương mại xây dựng Ánh Lộc,4.345.700.000,4.345.700.000,,,4345700000.0,4345700000.0,,
Tổng công ty Xây dựng Lũng Lô,Tổng công ty Xây dựng Lũng Lô,Tổng công ty Xây dựng Lũng Lô,12.000.378.308,12.000.378.308,12.000.378.308,12.000.378.308,12000378308.0,12000378308.0,12000378308.0,12000378308.0
Công ty CP Nam Tân,Công ty CP Nam Tân,Công ty CP Nam Tân,13.243.783.828,13.243.783.828,13.243.783.828,13.243.783.828,13243783828.0,13243783828.0,13243783828.0,13243783828.0
Công ty TNHH TM & XD Lâm Tùng Phương,Công ty TNHH TM & XD Lâm Tùng Phương,Công ty TNHH TM & XD Lâm Tùng Phương,14.733.684.000,14.733.684.000,,,14733684000.0,14733684000.0,,
Công ty TNHH kỹ thuật kiểm định hiệu chỉnh Toàn Cầu,Công ty TNHH kỹ thuật kiểm định hiệu chỉnh Toàn Cầu,Công ty TNHH kỹ thuật kiểm định hiệu chỉnh Toàn Cầu,28.260.801.916,28.260.801.916,,,28260801916.0,28260801916.0,,
Công ty CP xây dựng Đại Thành,Công ty CP xây dựng Đại Thành,Công ty CP xây dựng Đại Thành,3.375.133.010,3.375.133.010,,,3375133010.0,3375133010.0,,
Tổng Công ty Xây dựng Hà Nội,Tổng Công ty Xây dựng Hà Nội,Tổng Công ty Xây dựng Hà Nội,2.254.195.200,2.254.195.200,,,2254195200.0,2254195200.0,,
Công ty CP Xây dựng Lũng Lô 9,Công ty CP Xây dựng Lũng Lô 9,Công ty CP Xây dựng Lũng Lô 9,4.415.429.595,4.415.429.595,,,4415429595.0,4415429595.0,,
Công ty cổ phần An Ninh Đèo Cả,Công ty cổ phần An Ninh Đèo Cả,Công ty cổ phần An Ninh Đèo Cả,15.706.059.300,15.706.059.300,,,15706059300.0,15706059300.0,,
Công ty TNHH Nhạc Sơn,Công ty TNHH Nhạc Sơn,Công ty TNHH Nhạc Sơn,1.413.813.206,1.413.813.206,,,1413813206.0,1413813206.0,,
Công ty CP ĐT Giáo dục phát triển công nghệ năng lượng VN,Công ty CP ĐT Giáo dục phát triển công nghệ năng lượng VN,Công ty CP ĐT Giáo dục phát triển công nghệ năng lượng VN,4.964.896.734,4.964.896.734,,,4964896734.0,4964896734.0,,
Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,203.434.125.404,203.434.125.404,633.925.222.876,633.925.222.876,203434125404.0,203434125404.0,633925222876.0,633925222876.0
