row_label_raw,row_label_full,Bên liên quan > - Thu nhập của các thành viên quản lý chủ chốt,Chức vụ,Nội dung nghiệp vụ > Cả năm 2020,Các khoản phải thu (VND) > Cả năm 2019,numeric__Chức vụ,numeric__Nội dung nghiệp vụ > Cả năm 2020,numeric__Các khoản phải thu (VND) > Cả năm 2019
Thù lao Hội đồng quản trị và Ban kiểm soát,Thù lao Hội đồng quản trị và Ban kiểm soát,Thù lao Hội đồng quản trị và Ban kiểm soát,,748.500.000,306.000.000,,748500000.0,306000000.0
Tiền lương,Tiền lương,Tiền lương,,1.209.435.596,1.203.555.184,,1209435596.0,1203555184.0
Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,,,,,
- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,Công ty con,,,,,
- Công ty cổ phần Đầu tư Đèo Cả,- Công ty cổ phần Đầu tư Đèo Cả,- Công ty cổ phần Đầu tư Đèo Cả,Công ty con,,,,,
- Công ty Cổ phần Phước Tượng Phú Gia BOT,- Công ty Cổ phần Phước Tượng Phú Gia BOT,- Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty con,,,,,
- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty liên kết,,,,,
- Công ty Cổ phần Đầu tư BOT Đèo Cà Khánh Hòa,- Công ty Cổ phần Đầu tư BOT Đèo Cà Khánh Hòa,- Công ty Cổ phần Đầu tư BOT Đèo Cà Khánh Hòa,Công ty liên kết,,,,,
- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,Công ty liên kết,,,,,
- Công ty CP Tập Đoàn Đèo cả,- Công ty CP Tập Đoàn Đèo cả,- Công ty CP Tập Đoàn Đèo cả,Công ty mẹ,,,,,
- Hồ Minh Hoàng,- Hồ Minh Hoàng,- Hồ Minh Hoàng,Cổ đông lớn,,,,,
- Công ty Cổ phần Đầu tư Hải Thạch B.O.T,- Công ty Cổ phần Đầu tư Hải Thạch B.O.T,- Công ty Cổ phần Đầu tư Hải Thạch B.O.T,Cổ đông lớn,,,,,
- Công ty CP Đầu tư Hạ tầng Miền Bắc,- Công ty CP Đầu tư Hạ tầng Miền Bắc,- Công ty CP Đầu tư Hạ tầng Miền Bắc,Cổ đông lớn,,,,,
- Công ty CP ĐTTM Quốc tế Hà Thành,- Công ty CP ĐTTM Quốc tế Hà Thành,- Công ty CP ĐTTM Quốc tế Hà Thành,Cổ đông lớn,,,,,
- Công ty CP BOT Hưng Phát,- Công ty CP BOT Hưng Phát,- Công ty CP BOT Hưng Phát,Cổ đông lớn,,,,,
- Cty CP tập đoàn Hải Thạch,- Cty CP tập đoàn Hải Thạch,- Cty CP tập đoàn Hải Thạch,Cổ đông lớn,,,,,
- Cty CP Đầu tư Hải Thạch B.O.T,- Cty CP Đầu tư Hải Thạch B.O.T,- Cty CP Đầu tư Hải Thạch B.O.T,Cổ đông lớn,,,,,
