row_label_raw,row_label_full,a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn:,a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 31/12/2020 > Giá gốc,a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 31/12/2020 > Giá trị ghi sổ,a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 01/01/2020 > Giá gốc,a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 01/01/2020 > Giá trị ghi sổ,a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 01/01/2020,numeric__a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 31/12/2020 > Giá gốc,numeric__a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 31/12/2020 > Giá trị ghi sổ,numeric__a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 01/01/2020 > Giá gốc,numeric__a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 01/01/2020 > Giá trị ghi sổ,numeric__a) Chứng khoán kinh doanhb) Đầu tư nắm giữ đến ngày đáo hạn: > 01/01/2020
b1) Ngân hạn,b1) Ngân hạn,b1) Ngân hạn,,,,,,,,,,
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,,,,,,,,,,
b2) Dài hạn,- Tiền gửi có kỳ hạn > b2) Dài hạn,b2) Dài hạn,17.000.000.000,17.000.000.000,17.000.000.000,17.000.000.000,,17000000000.0,17000000000.0,17000000000.0,17000000000.0,
- Ngân hàng Vietinbank,- Tiền gửi có kỳ hạn > - Ngân hàng Vietinbank,- Ngân hàng Vietinbank,15.000.000.000,15.000.000.000,15.000.000.000,15.000.000.000,,15000000000.0,15000000000.0,15000000000.0,15000000000.0,
- Trái phiếu,- Tiền gửi có kỳ hạn > - Trái phiếu,- Trái phiếu,2.000.000.000,2.000.000.000,2.000.000.000,2.000.000.000,,2000000000.0,2000000000.0,2000000000.0,2000000000.0,
Cộng,- Tiền gửi có kỳ hạn > Cộng,Cộng,17.000.000.000,17.000.000.000,17.000.000.000,17.000.000.000,,17000000000.0,17000000000.0,17000000000.0,17000000000.0,
c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,,,,,
,,,31/12/2020,Đầu tư tăng thêm,Các khoản điều chỉnh tăng giảm,Phân chia lãi lỗ từ các công ty liên doanh liên kết,01/01/2020,,,,,
"Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư góp vốn vào đơn vị khác > Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",439.987.446.758,30.486.116.519,,50.268.948.422,359.232.381.816,439987446758.0,30486116519.0,,50268948422.0,359232381816.0
- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,c) Đầu tư góp vốn vào đơn vị khác > - Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,14.980.645.565,,,28.644.536,14.952.001.029,14980645565.0,,,28644536.0,14952001029.0
- Công ty Cổ phần Đầu tư BOT Đèo Cà Khánh Hòa,c) Đầu tư góp vốn vào đơn vị khác > - Công ty Cổ phần Đầu tư BOT Đèo Cà Khánh Hòa,- Công ty Cổ phần Đầu tư BOT Đèo Cà Khánh Hòa,300.372.810.491,486.116.519,,49.714.643.587,250.172.050.385,300372810491.0,486116519.0,,49714643587.0,250172050385.0
- Công ty Cổ phần BOT Bắc Giang Lạng Sơn Hữu Nghị,c) Đầu tư góp vốn vào đơn vị khác > - Công ty Cổ phần BOT Bắc Giang Lạng Sơn Hữu Nghị,- Công ty Cổ phần BOT Bắc Giang Lạng Sơn Hữu Nghị,124.633.990.701,30.000.000.000,,525.660.299,94.108.330.402,124633990701.0,30000000000.0,,525660299.0,94108330402.0
Cộng,c) Đầu tư góp vốn vào đơn vị khác > Cộng,Cộng,439.987.446.758,30.486.116.519,,50.268.948.422,359.232.381.816,439987446758.0,30486116519.0,,50268948422.0,359232381816.0
