row_label_raw,row_label_full,05 . PHẢI THU KHÁC ( Tiếp theo),31/12/2020,31/12/2020_1,01/01/2020,01/01/2020_1,numeric__31/12/2020,numeric__31/12/2020_1,numeric__01/01/2020,numeric__01/01/2020_1
05 . PHẢI THU KHÁC ( Tiếp theo),05 . PHẢI THU KHÁC ( Tiếp theo),05 . PHẢI THU KHÁC ( Tiếp theo),Gía trị,Dự phòng,Gía trị,Dự phòng,,,,
b) Dài hạn,05 . PHẢI THU KHÁC ( Tiếp theo) > b) Dài hạn,b) Dài hạn,172.835.805.238,,92.126.821.978,,172835805238.0,,92126821978.0,
Phải thu tạm ứng cổ tức,05 . PHẢI THU KHÁC ( Tiếp theo) > Phải thu tạm ứng cổ tức,Phải thu tạm ứng cổ tức,133.646.574.087,,82.843.201.991,,133646574087.0,,82843201991.0,
+ Công ty CP Đầu tư TMQT Hà Thành,05 . PHẢI THU KHÁC ( Tiếp theo) > + Công ty CP Đầu tư TMQT Hà Thành,+ Công ty CP Đầu tư TMQT Hà Thành,33.952.042.939,,,,33952042939.0,,,
+ Công ty CP BOT Hưng Phát,05 . PHẢI THU KHÁC ( Tiếp theo) > + Công ty CP BOT Hưng Phát,+ Công ty CP BOT Hưng Phát,50.924.984.504,,,,50924984504.0,,,
+ Công ty CP Đầu tư và Xây Dương Việt Thành,05 . PHẢI THU KHÁC ( Tiếp theo) > + Công ty CP Đầu tư và Xây Dương Việt Thành,+ Công ty CP Đầu tư và Xây Dương Việt Thành,239.057.455,,,,239057455.0,,,
+ Trung tâm phát triển quỹ đất huyện Chi Lăng,05 . PHẢI THU KHÁC ( Tiếp theo) > + Trung tâm phát triển quỹ đất huyện Chi Lăng,+ Trung tâm phát triển quỹ đất huyện Chi Lăng,11.826.510.370,,,,11826510370.0,,,
+ Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,05 . PHẢI THU KHÁC ( Tiếp theo) > + Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,+ Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,29.067.818.096,,,,29067818096.0,,,
+ Trung tâm phát triển quỹ đất huyện Hữu Lũng,05 . PHẢI THU KHÁC ( Tiếp theo) > + Trung tâm phát triển quỹ đất huyện Hữu Lũng,+ Trung tâm phát triển quỹ đất huyện Hữu Lũng,7.155.040.100,,,,7155040100.0,,,
"+ Phải thu tiền sửa chữa, bảo hành dự án","05 . PHẢI THU KHÁC ( Tiếp theo) > + Phải thu tiền sửa chữa, bảo hành dự án","+ Phải thu tiền sửa chữa, bảo hành dự án",481.120.623,,,,481120623.0,,,
"Ký cược, ký quỹ","05 . PHẢI THU KHÁC ( Tiếp theo) > Ký cược, ký quỹ","Ký cược, ký quỹ",9.275.234.987,,9.275.234.987,,9275234987.0,,9275234987.0,
Phải thu khác,05 . PHẢI THU KHÁC ( Tiếp theo) > Phải thu khác,Phải thu khác,29.913.996.164,,8.385.000,,29913996164.0,,8385000.0,
Cộng,05 . PHẢI THU KHÁC ( Tiếp theo) > Cộng,Cộng,429.271.174.391,,445.279.097.844,,429271174391.0,,445279097844.0,
