row_label_raw,row_label_full,a) Ngắn hạn
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng"
"Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe"
Lãi vay chờ phân bổ,Lãi vay chờ phân bổ,Lãi vay chờ phân bổ
Các khoản khác,Các khoản khác,Các khoản khác
b) Dài hạn,b) Dài hạn,b) Dài hạn
Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài,Chi phí dịch vụ thuê ngoài
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng"
"Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe"
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang
Lãi vay chờ phân bổ,Lãi vay chờ phân bổ,Lãi vay chờ phân bổ
Các khoản khác,Các khoản khác,Các khoản khác
