row_label_raw,row_label_full,Năm 2020,Thu phí trạm BOT,Xây dựng,Dịch vụ trung chuyển,"Vận hành, bảo dưỡng Hầm",Doanh thu khác,Tổng cộng,numeric__Thu phí trạm BOT,numeric__Xây dựng,numeric__Dịch vụ trung chuyển,"numeric__Vận hành, bảo dưỡng Hầm",numeric__Doanh thu khác,numeric__Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,937.874.815.202,140.649.185.194,12.256.638.637,103.078.136.540,7.484.711.640,1.201.343.487.213,937874815202.0,140649185194.0,12256638637.0,103078136540.0,7484711640.0,1201343487213.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,937.874.815.202,140.649.185.194,12.256.638.637,103.078.136.540,7.484.711.640,1.201.343.487.213,937874815202.0,140649185194.0,12256638637.0,103078136540.0,7484711640.0,1201343487213.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,659.409.947.876,18.452.650.248,(3.355.126.954),28.336.636.159,(946.201.974),701.897.905.355,659409947876.0,18452650248.0,-3355126954.0,28336636159.0,-946201974.0,701897905355.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,659.409.947.876,18.452.650.248,(3.355.126.954),28.336.636.159,(946.201.974),701.897.905.355,659409947876.0,18452650248.0,-3355126954.0,28336636159.0,-946201974.0,701897905355.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,(101.735.107.247),,,,,,-101735107247.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,7.754.138.462,,,,,,7754138462.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(480.298.079.400),,,,,,-480298079400.0
"Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Phần lãi hoặc lỗ trong công ty liên kết, liên doanh",,,,,,50.755.064.942,,,,,,50755064942.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,3.143.537.021,,,,,,3143537021.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(3.881.228.751),,,,,,-3881228751.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(4.601.890.606),,,,,,-4601890606.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,2.529.999.418,,,,,,2529999418.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,175.564.339.194,,,,,,175564339194.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,(1.319.639.376.739),,,,,,-1319639376739.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,(201.194.337.626),,,,,,-201194337626.0
