row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị quản lý,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Thiết bị quản lý,numeric__Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,15.008.754.210.677,24.793.605.786,66.923.724.931,27.176.873.021,15.127.648.414.415,15008754210677.0,24793605786.0,66923724931.0,27176873021.0,15127648414415.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,9.942.924.744.963,1.285.091.182,1.732.199.855,92.353.915,9.946.034.389.915,9942924744963.0,1285091182.0,1732199855.0,92353915.0,9946034389915.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,,1.285.091.182,1.732.199.855,92.353.915,3.109.644.952,,1285091182.0,1732199855.0,92353915.0,3109644952.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,9.942.924.744.963,,,,9.942.924.744.963,9942924744963.0,,,,9942924744963.0
- Tăng khác (đánh giả lại TS),- Tăng khác (đánh giả lại TS),- Tăng khác (đánh giả lại TS),- Tăng khác (đánh giả lại TS),- Tăng khác (đánh giả lại TS),- Tăng khác (đánh giả lại TS),- Tăng khác (đánh giả lại TS),- Tăng khác (đánh giả lại TS),,,,,
3. Số giảm trong năm,- Tăng khác (đánh giả lại TS) > 3. Số giảm trong năm,3. Số giảm trong năm,197.835.271.676,3.695.439.372,8.431.488.182,573.511.189,210.535.710.419,197835271676.0,3695439372.0,8431488182.0,573511189.0,210535710419.0
"- Thanh lý, nhượng bán","- Tăng khác (đánh giả lại TS) > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,3.695.439.372,8.431.488.182,573.511.189,12.700.438.743,,3695439372.0,8431488182.0,573511189.0,12700438743.0
- Giảm khác,- Tăng khác (đánh giả lại TS) > - Giảm khác,- Giảm khác,197.835.271.676,,,,197.835.271.676,197835271676.0,,,,197835271676.0
4. Số dư cuối năm,- Tăng khác (đánh giả lại TS) > 4. Số dư cuối năm,4. Số dư cuối năm,24.753.843.683.964,22.383.257.596,60.224.436.604,26.695.715.747,24.863.147.093.911,24753843683964.0,22383257596.0,60224436604.0,26695715747.0,24863147093911.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,893.708.036.328,16.278.102.425,48.050.586.392,12.680.178.182,970.716.903.327,893708036328.0,16278102425.0,48050586392.0,12680178182.0,970716903327.0
2. Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,202.082.712.602,2.050.271.420,3.475.025.757,3.011.095.396,210.619.105.175,202082712602.0,2050271420.0,3475025757.0,3011095396.0,210619105175.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,202.082.712.602,2.050.271.420,3.475.025.757,3.011.095.396,210.619.105.175,202082712602.0,2050271420.0,3475025757.0,3011095396.0,210619105175.0
3. Giảm trong năm,II. Giá trị hao mòn luỹ kế > 3. Giảm trong năm,3. Giảm trong năm,,3.626.884.190,5.302.648.789,589.442.838,9.518.975.817,,3626884190.0,5302648789.0,589442838.0,9518975817.0
"- Thanh lý, nhượng bán","II. Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,3.610.759.190,5.302.648.789,573.511.189,9.486.919.168,,3610759190.0,5302648789.0,573511189.0,9486919168.0
- Giảm khác,II. Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,,16.125.000,,15.931.649,,,16125000.0,,15931649.0,
4. Số dư cuối năm,II. Giá trị hao mòn luỹ kế > 4. Số dư cuối năm,4. Số dư cuối năm,1.095.790.748.930,14.701.489.655,46.222.963.360,15.101.830.740,1.171.817.032.685,1095790748930.0,14701489655.0,46222963360.0,15101830740.0,1171817032685.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,14.115.046.174.349,8.515.503.361,18.873.138.539,14.496.694.839,14.156.931.511.088,14115046174349.0,8515503361.0,18873138539.0,14496694839.0,14156931511088.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,23.658.052.935.034,7.681.767.941,14.001.473.244,11.593.885.007,23.691.330.061.226,23658052935034.0,7681767941.0,14001473244.0,11593885007.0,23691330061226.0
