row_label_raw,row_label_full,Trên 1 năm đến 5 năm,31/12/2020 > Giá trị > 94.758.333.334,31/12/2020 > Số có khả năng trả nợ > 94.758.333.334,Trong năm > Tăng > 174.000.000.000,Trong năm > Giảm > 319.100.000.000,01/01/2020 > Giá trị > 239.858.333.334,01/01/2020 > Số có khả năng trả nợ > 239.858.333.334,numeric__31/12/2020 > Giá trị > 94.758.333.334,numeric__31/12/2020 > Số có khả năng trả nợ > 94.758.333.334,numeric__Trong năm > Tăng > 174.000.000.000,numeric__Trong năm > Giảm > 319.100.000.000,numeric__01/01/2020 > Giá trị > 239.858.333.334,numeric__01/01/2020 > Số có khả năng trả nợ > 239.858.333.334
- Vay dài hạn mua 3 chung cư,- Vay dài hạn mua 3 chung cư,- Vay dài hạn mua 3 chung cư,758.333.334,758.333.334,,1.300.000.000,2.058.333.334,2.058.333.334,758333334.0,758333334.0,,1300000000.0,2058333334.0,2058333334.0
- Công ty Cổ Phần Tư Văn Xây Dụng A2Z,- Công ty Cổ Phần Tư Văn Xây Dụng A2Z,- Công ty Cổ Phần Tư Văn Xây Dụng A2Z,2.000.000.000,2.000.000.000,2.000.000.000,,,,2000000000.0,2000000000.0,2000000000.0,,,
- Công ty cổ phần đầu tư Hạ tầng Miền Bắc,- Công ty cổ phần đầu tư Hạ tầng Miền Bắc,- Công ty cổ phần đầu tư Hạ tầng Miền Bắc,92.000.000.000,92.000.000.000,92.000.000.000,,,,92000000000.0,92000000000.0,92000000000.0,,,
- Công ty CP tập đoàn Đèo Cả,- Công ty CP tập đoàn Đèo Cả,- Công ty CP tập đoàn Đèo Cả,,,80.000.000.000,317.800.000.000,237.800.000.000,237.800.000.000,,,80000000000.0,317800000000.0,237800000000.0,237800000000.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,20.649.698.174.390,20.649.698.174.390,1.229.153.645.755,506.885.899.885,19.927.430.428.520,19.927.430.428.520,20649698174390.0,20649698174390.0,1229153645755.0,506885899885.0,19927430428520.0,19927430428520.0
-Ngân hàng TMCP Công thương Việt Nam - CN Hà Nội,-Ngân hàng TMCP Công thương Việt Nam - CN Hà Nội,-Ngân hàng TMCP Công thương Việt Nam - CN Hà Nội,19.683.530.375.438,19.683.530.375.438,1.154.135.935.139,504.579.899.885,19.033.974.340.184,19.033.974.340.184,19683530375438.0,19683530375438.0,1154135935139.0,504579899885.0,19033974340184.0,19033974340184.0
- Hợp đồng tín dụng số 01/2015-HĐTDDA/NHCT106-DEOCA,- Hợp đồng tín dụng số 01/2015-HĐTDDA/NHCT106-DEOCA,- Hợp đồng tín dụng số 01/2015-HĐTDDA/NHCT106-DEOCA,2.206.415.065.389,2.206.415.065.389,,62.678.623.292,2.269.093.688.681,2.269.093.688.681,2206415065389.0,2206415065389.0,,62678623292.0,2269093688681.0,2269093688681.0
- Hợp đồng tín dụng số 01/2016-HĐTDDA/NHCT106-DEOCA,- Hợp đồng tín dụng số 01/2016-HĐTDDA/NHCT106-DEOCA,- Hợp đồng tín dụng số 01/2016-HĐTDDA/NHCT106-DEOCA,3.078.573.040.988,3.078.573.040.988,847.092.978.057,771.449.549,2.232.251.512.480,2.232.251.512.480,3078573040988.0,3078573040988.0,847092978057.0,771449549.0,2232251512480.0,2232251512480.0
- Hợp đồng tín dụng số 02-2013-HĐTDDA/NHCT106-DEOCA,- Hợp đồng tín dụng số 02-2013-HĐTDDA/NHCT106-DEOCA,- Hợp đồng tín dụng số 02-2013-HĐTDDA/NHCT106-DEOCA,4.648.403.867.855,4.648.403.867.855,,6.000.000.000,4.654.403.867.855,4.654.403.867.855,4648403867855.0,4648403867855.0,,6000000000.0,4654403867855.0,4654403867855.0
- Hợp đồng tín dụng số 02/2015-HĐTDDA/NHCT106-DEOCA,- Hợp đồng tín dụng số 02/2015-HĐTDDA/NHCT106-DEOCA,- Hợp đồng tín dụng số 02/2015-HĐTDDA/NHCT106-DEOCA,1.046.590.240.733,1.046.590.240.733,,6.709.827.044,1.053.300.067.777,1.053.300.067.777,1046590240733.0,1046590240733.0,,6709827044.0,1053300067777.0,1053300067777.0
Hợp đồng tín dụng số 01/2017-HĐTDDA/NHCT106-BOT BGLS,Hợp đồng tín dụng số 01/2017-HĐTDDA/NHCT106-BOT BGLS,Hợp đồng tín dụng số 01/2017-HĐTDDA/NHCT106-BOT BGLS,8.703.548.160.473,8.703.548.160.473,307.042.957.082,428.420.000.000,8.824.925.203.391,8.824.925.203.391,8703548160473.0,8703548160473.0,307042957082.0,428420000000.0,8824925203391.0,8824925203391.0
- Ngân hàng TMCP Việt Á - CN Hà Nội,- Ngân hàng TMCP Việt Á - CN Hà Nội,- Ngân hàng TMCP Việt Á - CN Hà Nội,966.167.798.952,966.167.798.952,75.017.710.616,2.306.000.000,893.456.088.336,893.456.088.336,966167798952.0,966167798952.0,75017710616.0,2306000000.0,893456088336.0,893456088336.0
Cộng,Cộng,Cộng,20.744.456.507.724,20.744.456.507.724,1.403.153.645.755,825.985.899.885,20.167.288.761.854,20.167.288.761.854,20744456507724.0,20744456507724.0,1403153645755.0,825985899885.0,20167288761854.0,20167288761854.0
