row_label_raw,row_label_full,Tóm tắt giá trị tài sản thuần tại ngày đầu tư thêm > Tài sản tại ngày đầu tư thêm vốn,Giá trị hợp lý ghi nhận tại ngày đầu tư thêm (VND) > 17.549.678.822.345,numeric__Giá trị hợp lý ghi nhận tại ngày đầu tư thêm (VND) > 17.549.678.822.345
Nợ phải trả,Nợ phải trả,Nợ phải trả,12.589.558.873.910,12589558873910.0
Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,3.452.924.767.484,3452924767484.0
Tài sản thuần,Tài sản thuần,Tài sản thuần,1.507.195.180.951,1507195180951.0
Lỗ từ giao dịch đầu tư thêm vốn,Lỗ từ giao dịch đầu tư thêm vốn,Lỗ từ giao dịch đầu tư thêm vốn,(13.045.837.339),-13045837339.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,13.045.837.339,13045837339.0
