row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2015,Giá trị ghi số > 01/01/2015,Giá trị hợp lý > 31/12/2015,Giá trị hợp lý > 01/01/2015,numeric__Giá trị ghi số > 31/12/2015,numeric__Giá trị ghi số > 01/01/2015,numeric__Giá trị hợp lý > 31/12/2015,numeric__Giá trị hợp lý > 01/01/2015
,,,VND,VND,VND,VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,739.123.566.937,208.465.681.019,739.123.566.937,208.465.681.019,739123566937.0,208465681019.0,739123566937.0,208465681019.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,426.512.248.345,109.927.624.195,426.512.248.345,109.927.624.195,426512248345.0,109927624195.0,426512248345.0,109927624195.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.699.525.042.616,303.257.316.078,1.699.525.042.616,303.257.316.078,1699525042616.0,303257316078.0,1699525042616.0,303257316078.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,450.846.960.000,46.986.185.491,450.846.960.000,46.986.185.491,450846960000.0,46986185491.0,450846960000.0,46986185491.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.316.007.817.898,668.636.806.783,3.316.007.817.898,668.636.806.783,3316007817898.0,668636806783.0,3316007817898.0,668636806783.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,621.561.440.851,104.627.847.552,621.561.440.851,104.627.847.552,621561440851.0,104627847552.0,621561440851.0,104627847552.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,315.098.322.602,33.425.235.570,315.098.322.602,33.425.235.570,315098322602.0,33425235570.0,315098322602.0,33425235570.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,22.518.798.494,4.469.345.547,22.518.798.494,4.469.345.547,22518798494.0,4469345547.0,22518798494.0,4469345547.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,959.178.561.947,142.522.428.669,959.178.561.947,142.522.428.669,959178561947.0,142522428669.0,959178561947.0,142522428669.0
