row_label_raw,row_label_full,col_0,Mối quan hệ,Năm 2015,Năm 2014,numeric__Mối quan hệ,numeric__Năm 2015,numeric__Năm 2014
,,,Mối quan hệ,VND,VND,,,
Công ty CP TM Sản xuất và Dịch vụ Sao Nam,Công ty CP TM Sản xuất và Dịch vụ Sao Nam,Công ty CP TM Sản xuất và Dịch vụ Sao Nam,Công ty liên kết,,,,,
Nhận tiền từ hoạt động tài chính,Công ty CP TM Sản xuất và Dịch vụ Sao Nam > Nhận tiền từ hoạt động tài chính,Nhận tiền từ hoạt động tài chính,,-,10.000.000.000,,,10000000000.0
Trả nợ gốc vay,Công ty CP TM Sản xuất và Dịch vụ Sao Nam > Trả nợ gốc vay,Trả nợ gốc vay,,-,2.500.000.000,,,2500000000.0
Chuyển tiền cho hoạt động đầu tư,Công ty CP TM Sản xuất và Dịch vụ Sao Nam > Chuyển tiền cho hoạt động đầu tư,Chuyển tiền cho hoạt động đầu tư,,7.000.000.000,-,,7000000000.0,
Lãi từ hoạt động đầu tư,Công ty CP TM Sản xuất và Dịch vụ Sao Nam > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,,2.376.309.687,1.369.661.219,,2376309687.0,1369661219.0
Thu hồi các khoản đầu tư,Công ty CP TM Sản xuất và Dịch vụ Sao Nam > Thu hồi các khoản đầu tư,Thu hồi các khoản đầu tư,,6.500.000.000,-,,6500000000.0,
Công ty Cổ phần Tập đoàn FIT,Công ty Cổ phần Tập đoàn FIT,Công ty Cổ phần Tập đoàn FIT,Cùng thành viên Ban lãnh đạo,Cùng thành viên Ban lãnh đạo,Cùng thành viên Ban lãnh đạo,,,
Nhận tiền từ hoạt động tài chính,Công ty Cổ phần Tập đoàn FIT > Nhận tiền từ hoạt động tài chính,Nhận tiền từ hoạt động tài chính,,396.931.240.000,-,,396931240000.0,
Cho thuê văn phòng,Công ty Cổ phần Tập đoàn FIT > Cho thuê văn phòng,Cho thuê văn phòng,,433.236.841,398.637.850,,433236841.0,398637850.0
Chuyển tiền cho hoạt động đầu tư,Công ty Cổ phần Tập đoàn FIT > Chuyển tiền cho hoạt động đầu tư,Chuyển tiền cho hoạt động đầu tư,,157.482.500.000,496.512.000.000,,157482500000.0,496512000000.0
Chi phí cho hoạt động tài chính,Công ty Cổ phần Tập đoàn FIT > Chi phí cho hoạt động tài chính,Chi phí cho hoạt động tài chính,,1.100.000.000,248.429.168,,1100000000.0,248429168.0
Lãi từ hoạt động đầu tư,Công ty Cổ phần Tập đoàn FIT > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,,335.206.028,7.114.508.867,,335206028.0,7114508867.0
Thu hồi các khoản đầu tư,Công ty Cổ phần Tập đoàn FIT > Thu hồi các khoản đầu tư,Thu hồi các khoản đầu tư,,228.880.500.000,425.114.000.000,,228880500000.0,425114000000.0
