row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị dụng cụ quản lý,TSCĐ hữu hình khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị dụng cụ quản lý,numeric__TSCĐ hữu hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,111.641.251.329,49.686.345.767,19.865.493.004,1.023.794.481,97.409.646,182.314.294.227,111641251329.0,49686345767.0,19865493004.0,1023794481.0,97409646.0,182314294227.0
- Mua trong năm kỳ,NGUYÊN GIÁ > - Mua trong năm kỳ,- Mua trong năm kỳ,3.195.295.290,19.898.314.088,15.006.830.474,197.360.000,-,38.297.799.852,3195295290.0,19898314088.0,15006830474.0,197360000.0,,38297799852.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(637.153.288),(5.598.779.593),-,-,(6.235.932.881),,-637153288.0,-5598779593.0,,,-6235932881.0
- Tăng/(giảm) do hợp nhất Công ty con,NGUYÊN GIÁ > - Tăng/(giảm) do hợp nhất Công ty con,- Tăng/(giảm) do hợp nhất Công ty con,90.788.287.936,331.310.507.460,14.015.748.879,1.387.867.127,98.525.455,437.600.936.857,90788287936.0,331310507460.0,14015748879.0,1387867127.0,98525455.0,437600936857.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,(3.549.904.213),-,(1.019.646.279),-,-,(4.569.550.492),-3549904213.0,,-1019646279.0,,,-4569550492.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,202.074.930.342,400.258.014.027,42.269.646.485,2.609.021.608,195.935.101,647.407.547.563,202074930342.0,400258014027.0,42269646485.0,2609021608.0,195935101.0,647407547563.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,34.775.465.656,26.340.417.433,7.240.179.112,304.469.116,97.409.646,68.757.940.963,34775465656.0,26340417433.0,7240179112.0,304469116.0,97409646.0,68757940963.0
- Khấu hao trong kỳ,GIÁ TRỊ HAO MÔN LỦY KẾ > - Khấu hao trong kỳ,- Khấu hao trong kỳ,8.485.868.928,15.152.938.442,3.451.035.421,188.382.032,-,27.278.224.823,8485868928.0,15152938442.0,3451035421.0,188382032.0,,27278224823.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(637.153.288),(4.780.732.169),-,-,(5.417.885.457),,-637153288.0,-4780732169.0,,,-5417885457.0
- Tăng/(giảm) do hợp nhất Công ty con,GIÁ TRỊ HAO MÔN LỦY KẾ > - Tăng/(giảm) do hợp nhất Công ty con,- Tăng/(giảm) do hợp nhất Công ty con,28.148.789.542,230.375.813.469,8.717.035.157,1.221.186.540,46.405.490,268.509.230.198,28148789542.0,230375813469.0,8717035157.0,1221186540.0,46405490.0,268509230198.0
- Giảm khác,GIÁ TRỊ HAO MÔN LỦY KẾ > - Giảm khác,- Giảm khác,(334.856.400),-,(955.918.350),-,-,(1.290.774.750),-334856400.0,,-955918350.0,,,-1290774750.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,71.075.267.726,271.232.016.056,13.671.599.171,1.714.037.688,143.815.136,357.836.735.777,71075267726.0,271232016056.0,13671599171.0,1714037688.0,143815136.0,357836735777.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,76.865.785.673,23.345.928.334,12.625.313.892,719.325.365,-,113.556.353.264,76865785673.0,23345928334.0,12625313892.0,719325365.0,,113556353264.0
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,130.999.662.616,129.025.997.971,28.598.047.314,894.983.920,52.119.965,289.570.811.786,130999662616.0,129025997971.0,28598047314.0,894983920.0,52119965.0,289570811786.0
