row_label_raw,row_label_full,T MNH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo),T MNH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_1,T MNH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_2,T MNH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_3,MẦU B 09-DN/HN,numeric__T MNH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_1,numeric__T MNH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_2,numeric__T MNH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_3,numeric__MẦU B 09-DN/HN
Ít minh này là bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo,Ít minh này là bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo,Ít minh này là bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo,Ít minh này là bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo,Ít minh này là bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo,Ít minh này là bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo,MẦU B 09-DN/HN,,,,
BỘ PHẠN THEO KHU VỰC ĐỊA LÝ VÀ BỘ PHẠN THEO LĨNH VỰC KINH DOANH (Tiếp theo),BỘ PHẠN THEO KHU VỰC ĐỊA LÝ VÀ BỘ PHẠN THEO LĨNH VỰC KINH DOANH (Tiếp theo),BỘ PHẠN THEO KHU VỰC ĐỊA LÝ VÀ BỘ PHẠN THEO LĨNH VỰC KINH DOANH (Tiếp theo),BỘ PHẠN THEO KHU VỰC ĐỊA LÝ VÀ BỘ PHẠN THEO LĨNH VỰC KINH DOANH (Tiếp theo),BỘ PHẠN THEO KHU VỰC ĐỊA LÝ VÀ BỘ PHẠN THEO LĨNH VỰC KINH DOANH (Tiếp theo),BỘ PHẠN THEO KHU VỰC ĐỊA LÝ VÀ BỘ PHẠN THEO LĨNH VỰC KINH DOANH (Tiếp theo),BỘ PHẠN THEO KHU VỰC ĐỊA LÝ VÀ BỘ PHẠN THEO LĨNH VỰC KINH DOANH (Tiếp theo),,,,
Bộ phận theo khu vực địa lý (Tiếp theo),Bộ phận theo khu vực địa lý (Tiếp theo),Bộ phận theo khu vực địa lý (Tiếp theo),Bộ phận theo khu vực địa lý (Tiếp theo),Bộ phận theo khu vực địa lý (Tiếp theo),Bộ phận theo khu vực địa lý (Tiếp theo),Bộ phận theo khu vực địa lý (Tiếp theo),,,,
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Miền bắc,Miền nam,Loại trừ,Tổng cộng,,,,
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,VND,VND,VND,VND,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,871.058.054.429,616.783.204.520,(495.425.612.203),992.415.646.746,871058054429.0,616783204520.0,-495425612203.0,992415646746.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,992.415.646.746,,,,992415646746.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,164.416.534.642,128.049.056.353,(89.658.381.388),202.807.209.607,164416534642.0,128049056353.0,-89658381388.0,202807209607.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,202.807.209.607,,,,202807209607.0
Năm 2014,Năm 2014,Năm 2014,Miền bắc,Miền nam,Loại trừ,Tổng cộng,,,,
Năm 2014,Năm 2014,Năm 2014,VND,VND,VND,VND,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,67.783.020.342,175.247.390.595,-,243.030.410.937,67783020342.0,175247390595.0,,243030410937.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,3.378.875.906,29.641.632.184,(33.020.508.090),-,3378875906.0,29641632184.0,-33020508090.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,71.161.896.248,204.889.022.779,(33.020.508.090),243.030.410.937,71161896248.0,204889022779.0,-33020508090.0,243030410937.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Giá vốn,Kết quả hoạt động kinh doanh > Giá vốn,Giá vốn,44.552.832.060,151.037.705.164,(30.808.622.962),164.781.914.262,44552832060.0,151037705164.0,-30808622962.0,164781914262.0
Lãi gộp,Kết quả hoạt động kinh doanh > Lãi gộp,Lãi gộp,26.609.064.188,53.851.317.615,(2.211.885.128),78.248.496.675,26609064188.0,53851317615.0,-2211885128.0,78248496675.0
