row_label_raw,row_label_full,col_0,Giá trị còn lại của tài sản bộ phận > 31/12/2015VND,Giá trị còn lại của tài sản bộ phận > 01/01/2015VND,Tăng tài sản cố định hữu hình và vô hình > 31/12/2015VND,Tăng tài sản cố định hữu hình và vô hình > 01/01/2015VND,numeric__Giá trị còn lại của tài sản bộ phận > 31/12/2015VND,numeric__Giá trị còn lại của tài sản bộ phận > 01/01/2015VND,numeric__Tăng tài sản cố định hữu hình và vô hình > 31/12/2015VND,numeric__Tăng tài sản cố định hữu hình và vô hình > 01/01/2015VND
"Lĩnh vực tư vấn, đầu tư","Lĩnh vực tư vấn, đầu tư","Lĩnh vực tư vấn, đầu tư",17.608.117.006,19.640.943.215,164.000.000,3.932.646.416,17608117006.0,19640943215.0,164000000.0,3932646416.0
"Lĩnh vực sản xuất, thương mại các sản phẩm nông nghiệp, vật tư kỹ thuật nông nghiệp","Lĩnh vực sản xuất, thương mại các sản phẩm nông nghiệp, vật tư kỹ thuật nông nghiệp","Lĩnh vực sản xuất, thương mại các sản phẩm nông nghiệp, vật tư kỹ thuật nông nghiệp",162.510.673.981,154.151.253.175,26.702.712.691,43.659.757.864,162510673981.0,154151253175.0,26702712691.0,43659757864.0
"Lĩnh vực sản xuất, kinh doanh thuốc và thiết bị y tế","Lĩnh vực sản xuất, kinh doanh thuốc và thiết bị y tế","Lĩnh vực sản xuất, kinh doanh thuốc và thiết bị y tế",185.397.788.755,-,12.292.616.161,-,185397788755.0,,12292616161.0,
,,,365.516.579.742,173.792.196.390,39.159.328.852,47.592.404.280,365516579742.0,173792196390.0,39159328852.0,47592404280.0
