row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,01/01/2015,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__01/01/2015
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,3.322.357.466.721,702.365.294.839,100.0,,3322357466721.0,702365294839.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,739.123.566.937,208.465.681.019,110.0,5.0,739123566937.0,208465681019.0
1. Tiền,1. Tiền,1. Tiền,111,,270.326.566.937,34.285.681.019,111.0,,270326566937.0,34285681019.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,468.797.000.000,174.180.000.000,112.0,,468797000000.0,174180000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,1.699.525.042.616,303.257.316.078,120.0,6.0,1699525042616.0,303257316078.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,394.872.766.538,62.339.290.000,121.0,,394872766538.0,62339290000.0
2. Đầu tư nằm giữ đến ngày đáo hạn,2. Đầu tư nằm giữ đến ngày đáo hạn,2. Đầu tư nằm giữ đến ngày đáo hạn,123,,1.304.652.276.078,240.918.026.078,123.0,,1304652276078.0,240918026078.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,469.680.384.680,119.266.793.795,130.0,,469680384680.0,119266793795.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,337.808.113.673,114.024.171.633,131.0,7.0,337808113673.0,114024171633.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,54.977.779.413,9.650.244.600,132.0,,54977779413.0,9650244600.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,8,58.584.937.500,-,135.0,8.0,58584937500.0,
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,9,80.360.482.828,10.157.198.224,136.0,9.0,80360482828.0,10157198224.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,10,(62.071.149.399),(14.564.820.662),137.0,10.0,-62071149399.0,-14564820662.0
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,,20.220.665,-,139.0,,20220665.0,
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,384.239.284.815,62.601.694.541,140.0,11.0,384239284815.0,62601694541.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,392.173.033.138,62.601.694.541,141.0,,392173033138.0,62601694541.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(7.933.748.323),-,149.0,,-7933748323.0,
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,29.789.187.673,8.773.809.406,150.0,,29789187673.0,8773809406.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,15,5.631.979.253,1.796.040.426,151.0,15.0,5631979253.0,1796040426.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,22.638.142.761,6.849.661.271,152.0,,22638142761.0,6849661271.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,1.519.065.659,128.107.709,153.0,,1519065659.0,128107709.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,1.078.180.771.818,290.050.351.907,200.0,,1078180771818.0,290050351907.0
