row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2015,Năm 2014,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2015,numeric__Năm 2014
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,1.723.481.698.562,247.736.451.219,1.0,,1723481698562.0,247736451219.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,16.808.489.362,3.358.735.773,2.0,,16808489362.0,3358735773.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),10,25,1.706.673.209.200,244.377.715.446,10.0,25.0,1706673209200.0,244377715446.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,26,1.382.746.904.911,164.781.914.262,11.0,26.0,1382746904911.0,164781914262.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),20,,323.926.304.289,79.595.801.184,20.0,,323926304289.0,79595801184.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,28,305.448.241.262,142.989.271.709,21.0,28.0,305448241262.0,142989271709.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,29,33.322.585.273,6.668.098.087,22.0,29.0,33322585273.0,6668098087.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,25.726.718.590,2.913.138.424,23.0,,25726718590.0,2913138424.0
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,(1.347.304.509),24.0,,,-1347304509.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,30,129.429.228.851,13.713.173.354,25.0,30.0,129429228851.0,13713173354.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,30,91.091.251.867,19.373.688.625,26.0,30.0,91091251867.0,19373688625.0
11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) +24 - (25 + 26)},11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) +24 - (25 + 26)},11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) +24 - (25 + 26)},30,,375.531.479.560,181.482.808.318,30.0,,375531479560.0,181482808318.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,6.020.990.818,6.277.277.616,31.0,,6020990818.0,6277277616.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,1.236.221.252,6.653.455.856,32.0,,1236221252.0,6653455856.0
14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),40,,4.784.769.566,(376.178.240),40.0,,4784769566.0,-376178240.0
15. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,380.316.249.126,181.106.630.078,50.0,,380316249126.0,181106630078.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,31,74.632.140.171,35.811.166.117,51.0,31.0,74632140171.0,35811166117.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,,(30.579.981),(736.092.660),52.0,,-30579981.0,-736092660.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 - 52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 - 52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 - 52),60,,305.714.688.936,146.031.556.621,60.0,,305714688936.0,146031556621.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,245.265.052.084,132.136.601.031,61.0,,245265052084.0,132136601031.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,60.449.636.852,13.894.955.590,62.0,,60449636852.0,13894955590.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,32,1.731,3.350,70.0,32.0,1731.0,3350.0
