row_label_raw,row_label_full,Các công ty con,"Nơi thành lập, hoạt động",Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,"numeric__Nơi thành lập, hoạt động",numeric__Tỷ lệ sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T,Hà Nội,100%,100%,Xuất nhập khẩu hàng hóa nông nghiệp,,1.0,1.0,
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Cần Thơ,"58,82%","58,82%",Kinh doanh sản phẩm vật tư nông nghiệp,,0.5882000000000001,0.5882000000000001,
Công ty Cổ phần Dược phẩm Cửu Long,Công ty Cổ phần Dược phẩm Cửu Long,Công ty Cổ phần Dược phẩm Cửu Long,Vĩnh Long,"59,20%","59,20%",Kinh doanh các mặt hàng thuốc,,0.5920000000000001,0.5920000000000001,
