row_label_raw,row_label_full,Ông Nguyễn Văn Sang > Ông Phan Trung Phương,Chủ tịch,(Bổ nhiệm ngày 22/12/2015) > (Miễn nhiệm ngày 22/12/2015),numeric__Chủ tịch,numeric__(Bổ nhiệm ngày 22/12/2015) > (Miễn nhiệm ngày 22/12/2015)
Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Phó Chủ tịch,,,
Ông Phạm Công Sinh,Ông Phạm Công Sinh,Ông Phạm Công Sinh,Thành viên,,,
Ông Ngô Anh Sơn,Ông Ngô Anh Sơn,Ông Ngô Anh Sơn,Thành viên,(Bổ nhiệm ngày 28/02/2015),,
Phan Minh Sáng,Phan Minh Sáng,Phan Minh Sáng,Thành viên,(Bổ nhiệm ngày 28/02/2015),,
Bùi Thanh Hương,Bùi Thanh Hương,Bùi Thanh Hương,Thành viên,,,
