row_label_raw,row_label_full,col_0,31/12/2015 > Giá trị,31/12/2015 > Dự phòng,01/01/2015 > Giá trị,01/01/2015 > Dự phòng,numeric__31/12/2015 > Giá trị,numeric__31/12/2015 > Dự phòng,numeric__01/01/2015 > Giá trị,numeric__01/01/2015 > Dự phòng
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,VND80.360.482.828,VND(6.686.552.005),VND10.157.198.224,VND(4.409.672.980),,,,
Lãi dự thu,a) Ngắn hạn > Lãi dự thu,Lãi dự thu,22.180.543.914,(875.235.616),5.818.620.420,(577.084.246),22180543914.0,-875235616.0,5818620420.0,-577084246.0
"Ký quỹ, ký cược","a) Ngắn hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",6.688.750.677,-,-,-,6688750677.0,,,
Tạm ứng,a) Ngắn hạn > Tạm ứng,Tạm ứng,5.635.676.734,-,982.048.650,-,5635676734.0,,982048650.0,
"Phải thu chi phí bán hàng, marketing","a) Ngắn hạn > Phải thu chi phí bán hàng, marketing","Phải thu chi phí bán hàng, marketing",11.299.292.643,(5.811.316.389),3.356.529.154,(3.832.588.734),11299292643.0,-5811316389.0,3356529154.0,-3832588734.0
Phải thu CP thành lập nhà máy Westfood,a) Ngắn hạn > Phải thu CP thành lập nhà máy Westfood,Phải thu CP thành lập nhà máy Westfood,30.130.000.000,-,-,-,30130000000.0,,,
Hậu Giang,Hậu Giang,Hậu Giang,,,,,,,,
Phải thu khác,Hậu Giang > Phải thu khác,Phải thu khác,4.426.218.860,-,-,-,4426218860.0,,,
b) Dài hạn,Hậu Giang > b) Dài hạn,b) Dài hạn,1.458.235.000,-,311.075.000,-,1458235000.0,,311075000.0,
"Ký cược, ký quỹ","Hậu Giang > Ký cược, ký quỹ","Ký cược, ký quỹ",1.458.235.000,-,311.075.000,-,1458235000.0,,311075000.0,
Cộng,Hậu Giang > Cộng,Cộng,81.818.717.828,(6.686.552.005),10.468.273.224,(4.409.672.980),81818717828.0,-6686552005.0,10468273224.0,-4409672980.0
