row_label_raw,row_label_full,Tại ngày 31/12/2015,Miền bắc31/12/2015 > VND,Miền nam31/12/2015 > VND,Loại trừ31/12/2015 > VND,Tổng cộng31/12/2015 > VND,numeric__Miền bắc31/12/2015 > VND,numeric__Miền nam31/12/2015 > VND,numeric__Loại trừ31/12/2015 > VND,numeric__Tổng cộng31/12/2015 > VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,3.896.317.974.923,4.020.105.540.238,(3.515.885.276.622),4.400.538.238.539,3896317974923.0,4020105540238.0,-3515885276622.0,4400538238539.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,4.400.538.238.539,,,,4400538238539.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.792.696.353.043,535.246.823.424,(984.579.487.511),1.343.363.688.956,1792696353043.0,535246823424.0,-984579487511.0,1343363688956.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,1.343.363.688.956,,,,1343363688956.0
Năm 2015,Năm 2015,Năm 2015,Miền bắc,Miền nam,Loại trừ,Tổng cộng,,,,
Năm 2015,Năm 2015,Năm 2015,VND,VND,VND,VND,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,67.917.866.926,1.638.755.342.274,,1.706.673.209.200,67917866926.0,1638755342274.0,,1706673209200.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,343.750.375,2.839.188.136,(3.182.938.511),,343750375.0,2839188136.0,-3182938511.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,68.261.617.301,1.641.594.530.410,(3.182.938.511),1.706.673.209.200,68261617301.0,1641594530410.0,-3182938511.0,1706673209200.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Giá vốn,Kết quả hoạt động kinh doanh > Giá vốn,Giá vốn,46.926.070.502,1.340.002.044.344,(4.181.209.935),1.382.746.904.911,46926070502.0,1340002044344.0,-4181209935.0,1382746904911.0
Lãi gộp,Kết quả hoạt động kinh doanh > Lãi gộp,Lãi gộp,21.335.546.799,301.592.486.066,998.271.424,323.926.304.289,21335546799.0,301592486066.0,998271424.0,323926304289.0
Chi phí bán hàng và chi phí quản lý,Kết quả hoạt động kinh doanh > Chi phí bán hàng và chi phí quản lý,Chi phí bán hàng và chi phí quản lý,,,,220.520.480.718,,,,220520480718.0
Lãi (lỗ) khác,Kết quả hoạt động kinh doanh > Lãi (lỗ) khác,Lãi (lỗ) khác,,,,4.784.769.566,,,,4784769566.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,,,,305.448.241.262,,,,305448241262.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,33.322.585.273,,,,33322585273.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,380.316.249.126,,,,380316249126.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,74.632.140.171,,,,74632140171.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,,(30.579.981),,,,-30579981.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,305.714.688.936,,,,305714688936.0
