row_label_raw,row_label_full,col_0,31/12/2015,Số đã thực nộp trong kỳ,Số phải nộp trong kỳ,01/01/2015,numeric__31/12/2015,numeric__Số đã thực nộp trong kỳ,numeric__Số phải nộp trong kỳ,numeric__01/01/2015
,,,VND,VND,VND,VND,,,,
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
- Thuế GTGT,Phải nộp > - Thuế GTGT,- Thuế GTGT,1.329.481.954,30.262.063.426,31.236.160.465,355.384.915,1329481954.0,30262063426.0,31236160465.0,355384915.0
- Thuế xuất nhập khẩu,Phải nộp > - Thuế xuất nhập khẩu,- Thuế xuất nhập khẩu,-,1.141.275.195,1.141.275.195,-,,1141275195.0,1141275195.0,
- Thuế TNDN,Phải nộp > - Thuế TNDN,- Thuế TNDN,50.242.598.492,70.756.140.574,83.099.012.039,37.899.727.027,50242598492.0,70756140574.0,83099012039.0,37899727027.0
- Thuế Tài nguyên,Phải nộp > - Thuế Tài nguyên,- Thuế Tài nguyên,-,2.246.400,2.246.400,-,,2246400.0,2246400.0,
- Tiền thuê đất,Phải nộp > - Tiền thuê đất,- Tiền thuê đất,-,874.858.610,874.858.610,-,,874858610.0,874858610.0,
- Thuế môn bài,Phải nộp > - Thuế môn bài,- Thuế môn bài,-,24.500.000,24.500.000,-,,24500000.0,24500000.0,
- Thuế thu nhập cá nhân,Phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,390.428.744,1.337.013.442,1.631.677.264,95.764.922,390428744.0,1337013442.0,1631677264.0,95764922.0
"- Thuế, phí khác","Phải nộp > - Thuế, phí khác","- Thuế, phí khác",-,24.295.873,24.295.873,-,,24295873.0,24295873.0,
Cộng,Phải nộp > Cộng,Cộng,51.962.509.190,104.422.393.520,118.034.025.846,38.350.876.864,51962509190.0,104422393520.0,118034025846.0,38350876864.0
