row_label_raw,row_label_full,col_0,Số đầu năm(Trình bảy lại),Số phải nộptrong năm,Số đã thực nộptrong năm,Số cuối năm,numeric__Số đầu năm(Trình bảy lại),numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,40.676.617.257,655.005.611.140,678.902.838.103,16.779.390.294,40676617257.0,655005611140.0,678902838103.0,16779390294.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,654.531.457,654.531.457,-,,654531457.0,654531457.0,
Thuế thu nhập doanh nghiệp (°),Thuế thu nhập doanh nghiệp (°),Thuế thu nhập doanh nghiệp (°),47.913.977.698,304.884.955.973,277.212.186.307,75.586.747.364,47913977698.0,304884955973.0,277212186307.0,75586747364.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.599.678.662,32.915.214.929,31.299.908.090,7.214.985.501,5599678662.0,32915214929.0,31299908090.0,7214985501.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,4.091.307.509,81.364.360.716,77.581.835.645,7.873.832.580,4091307509.0,81364360716.0,77581835645.0,7873832580.0
,,,98.281.581.126,1.074.824.674.215,1.065.651.299.602,107.454.955.739,98281581126.0,1074824674215.0,1065651299602.0,107454955739.0
