row_label_raw,row_label_full,Tập đoàn Đầu khí Việt Nam > Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty mẹ > Công ty con,numeric__Công ty mẹ > Công ty con
Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty con,
Công ty Cổ phần Thủy điện Đakdrình,Công ty Cổ phần Thủy điện Đakdrình,Công ty Cổ phần Thủy điện Đakdrình,Công ty con,
Công ty Cổ phần Thủy điện Hùa Na,Công ty Cổ phần Thủy điện Hùa Na,Công ty Cổ phần Thủy điện Hùa Na,Công ty con,
Công ty Cổ phần Máy - Thiết bị Dầu khí,Công ty Cổ phần Máy - Thiết bị Dầu khí,Công ty Cổ phần Máy - Thiết bị Dầu khí,Công ty con,
Các Tổng Công ty/Công ty khác,Các Tổng Công ty/Công ty khác,Các Tổng Công ty/Công ty khác,Cùng Tập đoàn,
