row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm 2019(Trước điều chỉnh),Điều chính hồi tố,Năm 2019(Sau điều chỉnh),numeric__Mã số,numeric__Năm 2019(Trước điều chỉnh),numeric__Điều chính hồi tố,numeric__Năm 2019(Sau điều chỉnh)
1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,2.197.375.267.639,17.991.154.356,2.215.366.421.995,1.0,2197375267639.0,17991154356.0,2215366421995.0
2. Khẩu hao tài sản cố định,2. Khẩu hao tài sản cố định,2. Khẩu hao tài sản cố định,02,1.940.089.676.326,258.284.181,1.940.347.960.507,2.0,1940089676326.0,258284181.0,1940347960507.0
3. Các khoản dự phòng,3. Các khoản dự phòng,3. Các khoản dự phòng,03,748.812.949.410,(4.410.722.136),744.402.227.274,3.0,748812949410.0,-4410722136.0,744402227274.0
4. Thay đổi các khoản phải thu,4. Thay đổi các khoản phải thu,4. Thay đổi các khoản phải thu,09,(3.543.142.937.130),(5.617.244.509),(3.548.760.181.639),9.0,-3543142937130.0,-5617244509.0,-3548760181639.0
"5. Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","5. Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","5. Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,1.597.499.568.971,(7.728.379.448),1.589.771.189.523,11.0,1597499568971.0,-7728379448.0,1589771189523.0
6. Thay đổi chỉ phí trả trước,6. Thay đổi chỉ phí trả trước,6. Thay đổi chỉ phí trả trước,12,87.560.868.578,(493.092.444),87.067.776.134,12.0,87560868578.0,-493092444.0,87067776134.0
