row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,VND,VND,,
a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,,
a1. Phải thu khác ngắn hạn,a. Ngân hạn > a1. Phải thu khác ngắn hạn,a1. Phải thu khác ngắn hạn,47.685.955.478,38.962.814.008,47685955478.0,38962814008.0
Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,a. Ngân hạn > Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,8.179.082.781,8.179.082.781,8179082781.0,8179082781.0
Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,a. Ngân hạn > Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,11.574.643.500,13.133.415.294,11574643500.0,13133415294.0
Lãi tiền gửi ngân hàng dự thu,a. Ngân hạn > Lãi tiền gửi ngân hàng dự thu,Lãi tiền gửi ngân hàng dự thu,15.127.817.636,6.984.112.328,15127817636.0,6984112328.0
Chỉ phí cố phần hóa,a. Ngân hạn > Chỉ phí cố phần hóa,Chỉ phí cố phần hóa,7.354.938.271,7.354.938.271,7354938271.0,7354938271.0
Phải thu khác,a. Ngân hạn > Phải thu khác,Phải thu khác,5.449.473.290,3.311.265.334,5449473290.0,3311265334.0
a2. Phải thu khác ngắn hạn các bên liên quan (Chỉ tiết tại Thuyết minh số 36),a. Ngân hạn > a2. Phải thu khác ngắn hạn các bên liên quan (Chỉ tiết tại Thuyết minh số 36),a2. Phải thu khác ngắn hạn các bên liên quan (Chỉ tiết tại Thuyết minh số 36),247.923.473.721,241.404.961.831,247923473721.0,241404961831.0
Tập đoàn Dầu khí Việt Nam (i),a. Ngân hạn > Tập đoàn Dầu khí Việt Nam (i),Tập đoàn Dầu khí Việt Nam (i),218.489.976.676,218.489.976.676,218489976676.0,218489976676.0
Ban Quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch (ii),a. Ngân hạn > Ban Quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch (ii),Ban Quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch (ii),20.217.829.253,20.217.829.253,20217829253.0,20217829253.0
Phải thu các bên liên quan khác,a. Ngân hạn > Phải thu các bên liên quan khác,Phải thu các bên liên quan khác,9.215.667.792,2.697.155.902,9215667792.0,2697155902.0
,,,295.609.429.199,280.367.775.839,295609429199.0,280367775839.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Ký cược, ký quỹ dài hạn","b. Dài hạn > Ký cược, ký quỹ dài hạn","Ký cược, ký quỹ dài hạn",460.303.000,220.303.000,460303000.0,220303000.0
,,,460.303.000,220.303.000,460303000.0,220303000.0
