row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (Trình bày lại)
C.,C.,C.,Nợ PHẢI TRẢ,300,,16.562.534.237.871,18.433.393.781.309,,300.0,,16562534237871.0,18433393781309.0
I.,I.,I.,Nợ ngắn hạn,310,,12.947.296.824.891,13.020.075.486.698,,310.0,,12947296824891.0,13020075486698.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,4.119.962.820.170,3.839.931.562.811,,311.0,17.0,4119962820170.0,3839931562811.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,4.030.531.563,1.962.903.000,,312.0,,4030531563.0,1962903000.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,18,107.454.955.739,98.281.581.126,,313.0,18.0,107454955739.0,98281581126.0
4.,4.,4.,Phải trả người lao động,314,,156.968.590.760,111.257.467.812,,314.0,,156968590760.0,111257467812.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,19,370.637.381.920,704.945.065.323,,315.0,19.0,370637381920.0,704945065323.0
6.,6.,6.,Phải trả ngắn hạn khác,319,20,1.935.929.547.943,1.281.676.447.284,,319.0,20.0,1935929547943.0,1281676447284.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,21,5.068.962.340.325,6.728.464.800.972,,320.0,21.0,5068962340325.0,6728464800972.0
8.,8.,8.,Dự phòng phải trả ngắn hạn,321,23,1.175.972.431.723,148.286.054.181,,321.0,23.0,1175972431723.0,148286054181.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,7.378.224.748,105.269.604.189,,322.0,,7378224748.0,105269604189.0
II.,II.,II.,Nợ dài hạn,330,,3.615.237.412.980,5.413.318.294.611,,330.0,,3615237412980.0,5413318294611.0
1.,1.,1.,Phải trả dài hạn khác,337,,14.596.560,10.000.000,,337.0,,14596560.0,10000000.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,21,2.704.125.468.978,4.688.587.157.886,,338.0,21.0,2704125468978.0,4688587157886.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,23,790.061.652.540,595.987.979.917,,342.0,23.0,790061652540.0,595987979917.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,,121.035.694.902,128.733.156.808,,343.0,,121035694902.0,128733156808.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,27.140.728.731.937,25.583.412.456.997,,400.0,,27140728731937.0,25583412456997.0
I.,I.,I.,Vốn chủ sở hữu,410,24,27.140.728.731.937,25.583.412.456.997,,410.0,24.0,27140728731937.0,25583412456997.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,23.418.716.000.000,23.418.716.000.000,,411.0,,23418716000000.0,23418716000000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,676.299.796.297,680.146.207.883,,418.0,,676299796297.0,680146207883.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,3.045.712.935.640,1.484.550.249.114,,421.0,,3045712935640.0,1484550249114.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,786.197.342.075,214.480.509.162,,,,786197342075.0,214480509162.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,2.259.515.593.565,1.270.069.739.952,,,,2259515593565.0,1270069739952.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,,238.306,,440.0,,,238306.0
Nguyễn Thị Hồng Hạnh,Nguyễn Thị Hồng Hạnh,Nguyễn Thị Hồng Hạnh,Chu Quang Toán Kế toán trưởng,Chu Quang Toán Kế toán trưởng,Chu Quang Toán Kế toán trưởng,Le Nhuư Unn Tổng Giám đốc,Le Nhuư Unn Tổng Giám đốc,,,,,
Người lập,Người lập,Người lập,Chu Quang Toán Kế toán trưởng,Chu Quang Toán Kế toán trưởng,Chu Quang Toán Kế toán trưởng,Le Nhuư Unn Tổng Giám đốc,Le Nhuư Unn Tổng Giám đốc,,,,,
