row_label_raw,row_label_full,col_0,CHỈ TIỀU,Mã số,Năm nay,Đơn vị: VNDNăm trước(Trình bày lại),numeric__CHỈ TIỀU,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước(Trình bày lại)
1.,1.,1.,LUƯ CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUƯ CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUƯ CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUƯ CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,1. > 1.,1.,Lợi nhuận trước thuế,01,2.424.974.940.196,2.215.366.421.995,,1.0,2424974940196.0,2215366421995.0
2.,2.,2.,Điều chính cho các khoản:,Điều chính cho các khoản:,Điều chính cho các khoản:,Điều chính cho các khoản:,,,,
2.,2. > 2.,2.,Khấu hao tài sản cố định,02,1.620.905.843.192,1.940.347.960.507,,2.0,1620905843192.0,1940347960507.0
2.,2. > 2.,2.,Các khoản dự phòng,03,1.597.116.795.920,744.402.227.274,,3.0,1597116795920.0,744402227274.0
2.,2. > 2.,2.,Lãi chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiên tệ có gốc ngoại tệ,04,(14.814.726.939),(11.009.041.879),,4.0,-14814726939.0,-11009041879.0
2.,2. > 2.,2.,Lãi từ hoạt động đầu tư,05,(718.900.265.170),(206.725.638.464),,5.0,-718900265170.0,-206725638464.0
2.,2. > 2.,2.,Chi phí lãi vay,06,523.640.150.940,759.689.784.304,,6.0,523640150940.0,759689784304.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trướcthay đổi vốn lưu động,08,5.432.922.738.139,5.442.071.713.737,,8.0,5432922738139.0,5442071713737.0
3.,2. > 3.,3.,Thay đổi các khoản phải thu,09,1.013.107.117.753,(3.548.760.181.639),,9.0,1013107117753.0,-3548760181639.0
3.,2. > 3.,3.,Thay đổi hàng tồn kho,10,(249.528.159.269),352.943.555.313,,10.0,-249528159269.0,352943555313.0
3.,2. > 3.,3.,"Thay đổi các khoản phải trả (Không kế lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)",11,1.232.358.096.176,1.589.771.189.523,,11.0,1232358096176.0,1589771189523.0
3.,2. > 3.,3.,Thay đổi chi phí trả trước,12,(63.844.666.841),87.067.776.134,,12.0,-63844666841.0,87067776134.0
3.,2. > 3.,3.,Tiền lãi vay đã trả,14,(597.111.246.010),(800.971.793.924),,14.0,-597111246010.0,-800971793924.0
3.,2. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(277.212.186.307),(274.820.215.452),,15.0,-277212186307.0,-274820215452.0
3.,2. > 3.,3.,Tiền chỉ khác cho hoạt động kinh doanh,17,(97.529.218.066),(74.688.577.509),,17.0,-97529218066.0,-74688577509.0
3.,2. > 3.,3.,Lưu chuyển tiền thuần từ hoạt độngkinh doanh,20,6.393.162.475.575,2.772.613.466.183,,20.0,6393162475575.0,2772613466183.0
II.,II.,II.,LUƯ CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,LUƯ CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,LUƯ CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,LUƯ CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng tài sản cố định vàcác tài sản dài hạn khác",21,(101.986.641.131),(105.305.329.506),,21.0,-101986641131.0,-105305329506.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ vàcác tài sản dài hạn khác",22,3.228.526.450,1.521.099.725,,22.0,3228526450.0,1521099725.0
3.,II. > 3.,3.,"Tiền chỉ cho vay, mua công cụ nợ củadơn vị khác",23,(319.997.000.000),(241.000.000.000),,23.0,-319997000000.0,-241000000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác",24,15.000.000.000,-,,24.0,15000000000.0,
5.,II. > 5.,5.,Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,(30.600.000.000),(137.234.800.000),,25.0,-30600000000.0,-137234800000.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,-,81.436.000.000,,26.0,,81436000000.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cố tức và lợi nhuậnđược chia",27,704.476.225.195,371.235.163.472,,27.0,704476225195.0,371235163472.0
7.,II. > 7.,7.,Lưu chuyển tiền thuần từ hoạt độngđầu tư,30,270.121.110.514,(29.347.866.309),,30.0,270121110514.0,-29347866309.0
