row_label_raw,row_label_full,CHỈ TIỀU,MÃ số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__MÃ số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,27,22.049.505.640.192,25.060.321.845.918,1.0,27.0,22049505640192.0,25060321845918.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,27,,,2.0,27.0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,27,22.049.505.640.192,25.060.321.845.918,10.0,27.0,22049505640192.0,25060321845918.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,28,18.877.399.683.160,21.408.570.021.259,11.0,28.0,18877399683160.0,21408570021259.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,3.172.105.957.032,3.651.751.824.659,20.0,,3172105957032.0,3651751824659.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,30,769.563.441.847,298.493.816.544,21.0,30.0,769563441847.0,298493816544.0
7. Chỉ phí tài chính,7. Chỉ phí tài chính,7. Chỉ phí tài chính,22,31,576.916.684.229,820.744.368.364,22.0,31.0,576916684229.0,820744368364.0
- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,23,,523.640.150.940,759.689.784.304,23.0,,523640150940.0,759689784304.0
8. Chỉ phí quản lý doanh nghiệp,8. Chỉ phí quản lý doanh nghiệp,8. Chỉ phí quản lý doanh nghiệp,26,32,945.588.791.030,929.468.225.729,26.0,32.0,945588791030.0,929468225729.0
9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),30,,2.419.163.923.620,2.200.033.047.110,30.0,,2419163923620.0,2200033047110.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,10.834.574.182,21.101.674.321,31.0,,10834574182.0,21101674321.0
11. Chỉ phí khác,11. Chỉ phí khác,11. Chỉ phí khác,32,,5.023.557.606,5.768.299.436,32.0,,5023557606.0,5768299436.0
12. Lợi nhuận khác (40=31-32),12. Lợi nhuận khác (40=31-32),12. Lợi nhuận khác (40=31-32),40,,5.811.016.576,15.333.374.885,40.0,,5811016576.0,15333374885.0
13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,2.424.974.940.196,2.215.366.421.995,50.0,,2424974940196.0,2215366421995.0
14. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,14. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,14. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,33,297.187.494.067,259.475.411.367,51.0,33.0,297187494067.0,259475411367.0
15. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,15. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,15. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,33,(131.728.147.436),,52.0,33.0,-131728147436.0,
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,2.259.515.593.565,1.955.891.010.628,60.0,,2259515593565.0,1955891010628.0
