row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VNDSố đầu năm(Trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VNDSố đầu năm(Trình bày lại)
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,14.042.839.894.931,12.996.034.708.944,,100.0,,14042839894931.0,12996034708944.0
I.,I.,I.,Tần và các khoản tương đương tiền,110,4,6.753.011.707.613,4.427.323.379.529,,110.0,4.0,6753011707613.0,4427323379529.0
1,1,1,Tiền,111,,808.011.707.613,87.323.379.529,,111.0,,808011707613.0,87323379529.0
2,2,2,Các khoản tương đương tiền,112,,5.945.000.000.000,4.340.000.000.000,,112.0,,5945000000000.0,4340000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,570.997.000.000,266.000.000.000,,120.0,5.0,570997000000.0,266000000000.0
1.,1.,1.,Đầu tư nắm giữ đến ngày đáo hạn,123,,570.997.000.000,266.000.000.000,,123.0,,570997000000.0,266000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,5.322.938.139.738,7.124.887.589.805,,130.0,,5322938139738.0,7124887589805.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,5.767.189.232.407,7.194.546.168.287,,131.0,6.0,5767189232407.0,7194546168287.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,39.533.349.098,58.703.587.457,,132.0,7.0,39533349098.0,58703587457.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,295.609.429.199,280.367.775.839,,136.0,8.0,295609429199.0,280367775839.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(779.393.870.966),(408.729.941.778),,137.0,9.0,-779393870966.0,-408729941778.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.307.545.753.020,998.571.908.580,,140.0,10.0,1307545753020.0,998571908580.0
1.,1.,1.,Hàng tồn kho,141,,1.313.355.757.618,999.689.096.611,,141.0,,1313355757618.0,999689096611.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(5.810.004.598),(1.117.188.031),,149.0,,-5810004598.0,-1117188031.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,88.347.294.560,179.251.831.030,,150.0,,88347294560.0,179251831030.0
1.,1.,1.,Chỉ phí trả trước ngắn hạn,151,11,30.138.302.263,26.536.604.444,,151.0,11.0,30138302263.0,26536604444.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,58.208.992.297,152.715.226.586,,152.0,,58208992297.0,152715226586.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,29.660.423.074.877,31.020.771.529.362,,200.0,,29660423074877.0,31020771529362.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,460.303.000,220.303.000,,210.0,,460303000.0,220303000.0
1.,1.,1.,Phải thu dài hạn khác,216,8,460.303.000,220.303.000,,216.0,8.0,460303000.0,220303000.0
II.,II.,II.,Tài sản cố định,220,,22.684.402.850.451,24.231.974.187.426,,220.0,,22684402850451.0,24231974187426.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,22.668.100.470.571,24.209.456.340.914,,221.0,12.0,22668100470571.0,24209456340914.0
,,,- Nguyễn giá,222,,47.099.619.260.103,47.035.565.453.517,,222.0,,47099619260103.0,47035565453517.0
,,,- Giá trị hao mòn lũy kế,223,,(24.431.518.789.532),(22.826.109.112.603),,223.0,,-24431518789532.0,-22826109112603.0
2.,2.,2.,Tài sản cố định vô hình,227,13,16.302.379.880,22.517.846.512,,227.0,13.0,16302379880.0,22517846512.0
,,,- Nguyễn giá,228,,57.342.943.119,55.924.990.619,,228.0,,57342943119.0,55924990619.0
,,,- Giá trị hao mòn lũy kế,229,,(41.040.563.239),(33.407.144.107),,229.0,,-41040563239.0,-33407144107.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,229.880.232.312,201.329.964.542,,240.0,,229880232312.0,201329964542.0
1.,1.,1.,Chỉ phí xây dựng cơ bản dở dang,242,14,229.880.232.312,201.329.964.542,,242.0,14.0,229880232312.0,201329964542.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,5.897.841.730.534,5.867.241.730.534,,250.0,5.0,5897841730534.0,5867241730534.0
1.,1.,1.,Đầu tư vào công ty con,251,,5.183.727.710.097,5.153.127.710.097,,251.0,,5183727710097.0,5153127710097.0
2.,2.,2.,Đầu tư vào công ty liên kết,252,,335.182.801.000,335.182.801.000,,252.0,,335182801000.0,335182801000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,399.172.256.500,399.172.256.500,,253.0,,399172256500.0,399172256500.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(20.241.037.063),(20.241.037.063),,254.0,,-20241037063.0,-20241037063.0
V.,V.,V.,Tài sản dài hạn khác,260,,847.837.958.580,720.005.343.860,,260.0,,847837958580.0,720005343860.0
1.,1.,1.,Chỉ phí trả trước dài hạn,261,11,169.605.816.437,109.362.847.415,,261.0,11.0,169605816437.0,109362847415.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,15,131.728.147.436,,,262.0,15.0,131728147436.0,
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,16,546.503.994.707,610.642.496.445,,263.0,16.0,546503994707.0,610642496445.0
,,,TỔNG CỘNG TÀI SẢN(270=100+200),270,,43.703.262.969.808,44.016.806.238.306,,270.0,,43703262969808.0,44016806238306.0
